init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,0,12.934,space,12.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,12.936,13.934,13.934,14.433,14.433,14.684,14.684,35,215,21.58,space,6.876,,21.58,26.691,space,5.103,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,26.691,27.69,27.69,28.19,28.19,28.441,28.441,147,147,35.101,space,6.653,,35.101,37.135,space,2.028,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,37.136,38.136,38.136,38.635,38.635,38.885,38.885,151,-29,42.754,space,3.864,,42.754,45.954,space,3.195,,0,2,2,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,45.954,46.954,46.954,47.455,47.455,47.705,47.705,58,58,50.372,space,2.662,,50.372,51.761,space,1.381,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,51.761,52.761,52.761,53.26,53.26,53.51,53.51,8,8,60.191,space,6.674,,60.191,62.942,space,2.739,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,62.942,63.942,63.942,64.442,64.442,64.692,64.692,139,139,68.045,space,3.347,,68.045,69.393,space,1.337,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,69.393,70.393,70.393,70.893,70.893,71.143,71.143,26,26,77.442,space,6.297,,77.442,78.56,space,1.107,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e686b927391d9ac83103f2,001,2023-12-14_07h21.44.739,bars,2023.2.3,Win32,125,,,,,,78.56,79.56,79.56,80.061,80.061,80.31,80.31,51,51,83.796,space,3.484,,83.796,84.79,space,0.986,,0,7,7,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
