init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,0.0008,19.3524,space,19.3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,19.3577,20.3461,20.3462,20.8538,20.8541,21.0963,21.0968,90,90,42.4,space,21.2553,,42.4002,50.4964,space,8.0609,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,50.5111,51.5019,51.502,52.0016,52.0016,52.2515,52.2516,122,122,58.0003,space,5.7315,,58.0004,61.0493,space,3.021,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,61.0638,62.072,62.072,62.5721,62.5722,62.8074,62.8074,4,184,77.0514,space,14.2277,,77.0515,82.0088,space,4.9263,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,82.0217,83.0242,83.0243,83.5244,83.5245,83.774,83.7741,150,150,86.0236,space,2.2333,,86.0236,87.8066,space,1.7644,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,87.8075,88.8059,88.806,89.3063,89.3063,89.5556,89.5557,51,51,95.7704,space,6.1989,,95.7705,99.5022,space,3.7069,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,99.5155,100.5189,100.5189,101.0191,101.0192,101.2683,101.2683,22,22,111.0486,space,9.7645,,111.0489,115.9633,space,4.8913,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,115.979,116.9796,116.9796,117.4795,117.4795,117.7294,117.7295,104,104,121.0449,space,3.2987,,121.0449,129.0428,space,7.9784,,0,6,6,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6169c75c94f8d8dacf4fe265,001,2023-12-14_08h18.01.908,bars,2023.2.3,Win32,60.24096386,,,,,,129.091,130.046,130.046,130.5418,130.5419,130.7918,130.7919,12,192,138.0152,space,7.1981,,138.0152,142.5381,space,4.4932,,0,7,7,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
