init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0006,0.0007,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,0.0008,906.3889,space,906.3806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,906.3923,907.3869,907.3872,907.8887,907.8888,908.1386,908.1388,19,19,916.6872,space,8.5226,,916.6875,937.6361,space,20.9219,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,937.65,938.6363,938.6365,939.1361,939.1361,939.3866,939.3867,34,214,950.1361,space,10.7334,,950.1362,961.869,space,11.7148,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,961.8836,962.8834,962.8835,963.3854,963.3854,963.635,963.6351,174,-6,970.1995,space,6.5397,,970.1996,1114.0075,space,143.7782,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,1114.0188,1115.0069,1115.0069,1115.507,1115.5071,1115.7567,1115.7568,159,159,1127.023,space,11.2473,,1127.023,2022.7688,space,895.7125,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,2022.7695,2023.7697,2023.7697,2024.2692,2024.2693,2024.5212,2024.5212,168,168,2029.5058,space,4.9667,,2029.5059,2039.8708,space,10.3464,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,2039.8798,2040.8696,2040.8696,2041.3709,2041.371,2041.6203,2041.6204,51,51,2046.7719,space,5.1342,,2046.772,2049.2038,space,2.4158,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,2049.2042,2050.2008,2050.2009,2050.7014,2050.7015,2050.9513,2050.9513,88,88,2061.5188,space,10.5497,,2061.5189,2075.1998,space,13.6535,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,2075.2144,2076.201,2076.2011,2076.6996,2076.6997,2076.9498,2076.9499,51,51,2080.8852,space,3.9172,,2080.8854,2138.4153,space,57.5121,,0,7,7,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,2138.4299,2139.4291,2139.4291,2139.9291,2139.9292,2140.1804,2140.1804,43,43,2144.6481,space,4.4511,,2144.6482,2165.5439,space,20.8662,,0,8,8,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,2165.5574,2166.544,2166.544,2167.044,2167.0441,2167.2941,2167.2941,10,10,2171.4938,space,4.1911,,2171.4939,2200.1417,space,28.6159,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.1577,2211.159,space,10.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211.1758,2216.2582,left,5.0745,,2216.2585,9,1,2217.2573,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217.2577,2224.6075,right,7.3369,,2224.6076,1,2,2225.607,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225.6076,2226.2906,left,0.6746,,2226.2908,10,1,2227.2904,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2227.2909,2227.9904,left,0.6835,,2227.9904,7,1,2228.9902,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2228.9907,2229.3075,right,0.2997,,2229.3077,1,2,2230.3067,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230.3073,2230.5405,left,0.2215,,2230.5405,4,1,2231.54,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611d03b822d4c8e041ea0c32,001,2023-12-14_08h40.41.214,bars,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231.5406,2231.8069,left,0.2552,,2231.8071,1,1,2232.8066,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
