init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0006,0.0007,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,0.001,8.9941,space,8.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,9.0181,10.017,10.0174,10.5176,10.518,10.7679,10.7683,179,-1,23.9412,space,13.1109,,23.9417,27.7395,space,3.7414,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,27.741,28.7371,28.7373,29.2365,29.2367,29.487,29.4871,38,38,38.4119,space,8.8996,,38.412,55.3567,space,16.9045,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,55.3805,56.3811,56.3811,56.8734,56.8735,57.1234,57.1234,37,37,63.9808,space,6.8251,,63.9809,71.546,space,7.5129,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,71.5695,72.5694,72.5695,73.0732,73.0733,73.2971,73.2972,157,157,79.2917,space,5.9699,,79.2919,81.9962,space,2.6599,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,82.0194,83.0196,83.0198,83.5157,83.5157,83.764,83.7643,29,29,90.468,space,6.6803,,90.4681,96.8631,space,6.3483,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,96.8875,97.8874,97.8874,98.3862,98.3865,98.6375,98.6376,38,38,103.2697,space,4.6007,,103.2698,107.1888,space,3.8825,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,107.2116,108.2162,108.2162,108.7097,108.7098,108.9596,108.9597,37,37,115.2857,space,6.2947,,115.2859,118.7924,space,3.4704,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,118.8157,119.8066,119.8068,120.3065,120.3066,120.5565,120.5566,53,53,130.9816,space,10.3935,,130.9817,134.9117,space,3.8843,,0,7,7,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
