init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0015,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,0.0016,61.5013,space,61.4835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,61.5079,62.4969,62.4971,62.9926,62.9928,63.2427,63.2429,56,56,67.9762,space,4.7014,,67.9763,112.2939,space,44.3003,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,112.2991,113.2923,113.2924,113.7913,113.7914,114.0413,114.0413,132,132,119.0245,space,4.9739,,119.0246,121.9578,space,2.9123,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,121.958,122.9576,122.9577,123.4578,123.4578,123.7077,123.7077,168,168,129.2757,space,5.5664,,129.2757,133.5318,space,4.2338,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,133.5369,134.5408,134.5408,135.0408,135.0408,135.2909,135.2909,65,65,137.7485,space,2.455,,137.7485,141.5074,space,3.739,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,141.5126,142.5074,142.5074,143.0073,143.0074,143.2466,143.2467,144,144,150.4904,space,7.2402,,150.4904,155.4902,space,4.9817,,0,4,4,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,155.4951,156.4903,156.4903,156.9976,156.9977,157.2414,157.2415,43,43,163.2235,space,5.9454,,163.2236,166.5401,space,3.3043,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,166.5403,167.5304,167.5305,168.0305,168.0306,168.2744,168.2744,148,148,174.5071,space,6.2015,,174.5073,181.9562,space,7.4358,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,181.9612,182.9561,182.9562,183.4561,183.4562,183.6972,183.6972,93,93,187.8078,space,4.1002,,187.8078,190.7228,space,2.887,,0,7,7,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,190.7231,191.7227,191.7227,192.2227,192.2227,192.4728,192.4728,37,37,194.9893,space,2.51,,194.9893,213.4556,space,18.4495,,0,8,8,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,213.4612,214.4632,214.4632,214.9629,214.9629,215.2054,215.2054,45,45,221.74,space,6.5106,,221.74,243.2756,space,21.519,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.2824,253.7221,space,10.4185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.7298,257.9573,left,4.2109,,257.9575,9,1,258.9545,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.9551,260.4045,left,1.4142,,260.4045,10,1,261.406,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.4063,262.4725,right,1.0501,,262.4725,2,2,263.4711,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.4717,264.1378,left,0.6635,,264.1378,7,1,265.1377,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.1379,266.271,right,1.1255,,266.271,1,2,267.2709,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.2712,267.821,left,0.534,,267.8211,4,1,268.8208,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.821,269.2876,left,0.4448,,269.2876,1,1,270.2874,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2877,270.9448,left,0.6398,,270.9449,0,1,271.9443,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9446,272.3211,right,0.363,,272.3211,0,2,273.3054,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.3055,273.8542,right,0.5335,,273.8542,3,2,274.8541,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.8544,275.804,left,0.939,,275.804,0,1,276.8039,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.8042,278.2708,left,1.4458,,278.2708,0,1,279.2613,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.2615,279.7617,right,0.4898,,279.7618,6,2,280.7539,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.7541,281.2784,right,0.5065,,281.2784,3,2,282.2705,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.2707,282.6373,left,0.3345,,282.6373,2,1,283.6371,0,14,14,14,1,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.6374,284.0372,left,0.3796,,284.0373,3,1,285.0371,0,15,15,15,1,4,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0374,285.3373,right,0.2787,,285.3373,7,2,286.3397,0,16,16,16,1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.34,286.6539,right,0.2944,,286.6539,5,2,287.6537,0,17,17,17,1,8,4,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a520774eedc3200014206b4,001,2023-12-16_14h45.41.845,bars,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.6538,287.9537,left,0.2968,,287.9537,5,1,288.9537,0,18,18,18,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
