init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0006,0.0009,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0013,55.1611,y,55.1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,55.1613,79.4998,space,24.3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,79.5065,80.5049,80.5052,81.0042,81.0044,81.2489,81.2496,122,122,90.1167,space,8.8098,,90.1169,102.1856,space,12.034,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,102.1995,103.1987,103.1989,103.6881,103.6881,103.9321,103.9323,99,99,110.7727,space,6.8172,,110.7728,114.7829,space,3.9861,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,114.7841,115.7824,115.7826,116.2882,116.2883,116.5324,116.5325,33,213,119.7402,space,3.185,,119.7403,123.683,space,3.9162,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,123.6958,124.6994,124.6995,125.1994,125.1995,125.4496,125.4497,152,-28,130.5832,space,5.1018,,130.5833,134.8675,space,4.2511,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,134.8795,135.883,135.8831,136.383,136.383,136.6229,136.6231,163,163,139.1833,space,2.5342,,139.1836,145.288,space,6.0805,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,145.3009,146.2999,146.3001,146.7999,146.8001,147.0499,147.05,29,209,150.8413,space,3.7687,,150.8414,157.0508,space,6.1831,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f35ea51f0cfd606d35d01e5,65af5613eba6f5fa810a1699,2024-01-22_23h02.03.717,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,157.067,158.0565,158.0566,158.553,158.5531,158.8005,158.8006,88,88,162.7078,space,3.8837,,162.7079,164.1178,space,1.3789,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
