init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.0013,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0018,12.645,y,12.6226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,12.6452,41.6983,space,29.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,41.7432,42.6989,42.6991,43.1976,43.1982,43.4575,43.4579,0,0,57.6029,space,14.1042,,57.6031,161.3197,space,103.6739,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,161.3359,162.3318,162.332,162.8201,162.8202,163.0802,163.0803,0,0,179.2732,space,16.1749,,179.2733,192.694,space,13.3899,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,192.7125,193.7061,193.7062,194.2063,194.2064,194.446,194.446,0,0,199.9124,space,5.4557,,199.9124,207.459,space,7.513,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,207.4743,208.4642,208.4642,208.954,208.9541,209.1978,209.1978,0,0,222.5859,space,13.3687,,222.5862,234.4852,space,11.8695,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,234.5007,235.4957,235.4957,235.9954,235.9954,236.2425,236.2425,36,36,240.6471,space,4.3863,,240.6471,253.7011,space,13.0245,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,253.7164,254.7118,254.7119,255.2111,255.2112,255.4616,255.4616,37,37,259.3787,space,3.8959,,259.3789,264.5922,space,5.1848,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f72251e27b82f11aacdd6c1,65af532f30852ac05a101d81,2024-01-22_23h50.19.209,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,264.6061,265.5955,265.5956,266.0939,266.094,266.329,266.3291,57,57,271.7505,space,5.4039,,271.7506,277.0616,space,5.2826,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
