init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0011,0.0015,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,0.0024,7.8967,y,7.8664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,7.8973,368.9009,space,360.9797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,368.9135,369.9034,369.9035,370.4041,370.4045,370.6554,370.6557,29,29,375.235,space,4.5411,,375.2353,378.9974,space,3.7081,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,379.0358,380.0133,380.0134,380.5001,380.5002,380.7496,380.7496,29,209,386.0999,space,5.3422,,386.1,388.3217,space,2.1649,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,388.3228,389.3224,389.3225,389.8242,389.8243,390.0758,390.0759,167,-13,394.2715,space,4.1855,,394.2716,396.9107,space,2.583,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,396.9125,397.9144,397.9144,398.4147,398.4148,398.6648,398.6648,21,21,401.408,space,2.734,,401.4082,403.9629,space,2.5308,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,403.9969,404.9707,404.9715,405.4681,405.4682,405.718,405.718,91,91,410.9338,space,5.2082,,410.9339,414.3749,space,3.3899,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,414.4118,415.3825,415.3826,415.879,415.8791,416.1298,416.1299,89,89,419.4734,space,3.3275,,419.4735,421.8292,space,2.3355,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56cfd0ddd691bb000697baef,65af53a2be6af047326a9879,2024-01-22_23h51.23.665,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,421.8664,422.8318,422.8318,423.3336,423.3336,423.5845,423.5846,8,8,427.2769,space,3.6788,,427.277,431.0883,space,3.755,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
