init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0006,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,0.0009,20.5883,y,20.5486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,20.5885,57.8016,space,37.1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,57.8236,58.8026,58.8028,59.2924,59.2927,59.5434,59.5436,35,35,68.5889,space,9.0086,,68.5892,82.7941,space,14.1571,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,82.8074,83.7997,83.7998,84.3018,84.3019,84.5517,84.5519,145,145,89.3844,space,4.8157,,89.3845,93.9326,space,4.5181,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,93.9455,94.9454,94.9455,95.4473,95.4474,95.6862,95.6864,131,131,97.9267,space,2.2237,,97.9268,100.3008,space,2.3549,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,100.3016,101.3034,101.3036,101.8045,101.8047,102.0554,102.0556,131,131,105.583,space,3.5115,,105.5831,109.8064,space,4.1951,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,109.8203,110.8157,110.8158,111.3169,111.3169,111.5683,111.5683,12,12,113.9753,space,2.3909,,113.9754,121.0805,space,7.0873,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,121.0933,122.0831,122.0833,122.5843,122.5844,122.8352,122.8354,46,226,129.0548,space,6.2028,,129.0549,135.6581,space,6.5744,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5fc1bc2bf8b6b92c35064e2d,65af5485ebaa6ae4e2c7562a,2024-01-22_23h56.21.390,bars,2023.2.3,Win32,59.75143403,657b66ea316d21385b68909f,,,,,,,,,,,135.6711,136.6607,136.6608,137.162,137.162,137.4126,137.4131,104,104,141.1243,space,3.6955,,141.1244,144.6521,space,3.4984,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
