init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0004,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0006,436.1371,y,436.1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,436.1373,443.7593,space,7.6087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,443.764,444.768,444.7682,445.2675,445.2676,445.5177,445.5179,149,149,461.9485,space,16.4007,,461.9486,476.1785,space,14.2004,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,476.1876,477.1776,477.1777,477.6779,477.6779,477.9278,477.9278,32,32,487.4757,space,9.5401,,487.4757,496.1572,space,8.6642,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,496.1664,497.1569,497.1569,497.6571,497.6573,497.9069,497.907,168,168,504.2889,space,6.3655,,504.2889,506.8882,space,2.5728,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,506.8886,507.8883,507.8883,508.3879,508.3879,508.6382,508.6383,7,187,512.6376,space,3.9911,,512.6377,517.37,space,4.7045,,0,3,3,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,517.3781,518.3693,518.3695,518.8691,518.8691,519.119,519.1191,129,129,523.6519,space,4.5168,,523.6519,526.2851,space,2.6058,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,526.2855,527.2842,527.2842,527.7841,527.7842,528.0338,528.0338,107,107,532.6497,space,4.6079,,532.6499,536.7494,space,4.0721,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6580b24b0593cdbf4ce9449d,65af5532048963a67ab614d6,2024-01-22_23h58.12.853,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,536.7579,537.7485,537.7486,538.2491,538.2491,538.4985,538.4985,80,260,543.631,space,5.1154,,543.631,545.0138,space,1.3587,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
