init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0005,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0006,214.9892,y,214.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,214.9894,292.1621,space,77.1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,292.1697,293.1645,293.1646,293.6651,293.6652,293.9153,293.9155,87,87,300.4577,space,6.5073,,300.458,304.3617,space,3.8769,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,304.3756,305.3767,305.3767,305.8772,305.8773,306.1274,306.1274,29,29,309.0137,space,2.8585,,309.0138,311.0035,space,1.9685,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,311.0039,312.0028,312.0028,312.5015,312.5019,312.751,312.751,171,-9,317.2556,space,4.4728,,317.2556,318.7901,space,1.5017,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,318.7926,319.7909,319.791,320.2916,320.2916,320.5446,320.5446,4,4,327.015,space,6.4559,,327.015,328.0995,space,1.0523,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,328.1019,329.1005,329.1005,329.6011,329.6011,329.8536,329.8536,97,97,333.4548,space,3.5919,,333.4549,334.7227,space,1.2359,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,334.7249,335.7235,335.7236,336.2243,336.2244,336.4746,336.4746,118,118,352.9575,space,16.4551,,352.9576,353.825,space,0.8348,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61634ea5478b2d1e072e8353,65af54d26c4c8a399abc6fde,2024-01-22_23h59.00.254,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,353.8272,354.8259,354.8259,355.3265,355.3265,355.5769,355.577,14,14,358.3468,space,2.7382,,358.3469,359.3139,space,0.9457,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
