init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,0.0007,576.7704,y,576.7539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,576.7706,607.3199,space,30.5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,607.3392,608.3356,608.3358,608.8364,608.8369,609.0852,609.0854,42,42,614.4028,space,5.2853,,614.4033,622.0362,space,7.6049,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,622.0469,623.035,623.0352,623.535,623.535,623.7846,623.7847,88,88,628.2188,space,4.4216,,628.219,631.9017,space,3.6627,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,631.9126,632.9014,632.9014,633.4012,633.4012,633.6518,633.6519,163,163,636.2346,space,2.5772,,636.2348,642.7014,space,6.4474,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,642.713,643.7012,643.7012,644.2013,644.2013,644.4507,644.4508,31,211,649.5014,space,5.0337,,649.5015,650.9509,space,1.4194,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,650.9515,651.9512,651.9514,652.451,652.4511,652.7013,652.7014,155,155,657.3513,space,4.6326,,657.3516,658.6845,space,1.313,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,658.6856,659.685,659.6851,660.1839,660.1839,660.4341,660.4341,142,142,665.4341,space,4.9859,,665.4341,668.017,space,2.5543,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6047238e77116b1a263b6dfd,65af554fb1b2d753c0180a06,2024-01-22_23h59.05.379,bars,2023.2.3,Linux x86_64,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,668.0173,669.0167,669.0168,669.5172,669.5173,669.7678,669.7678,37,217,673.9671,space,4.1812,,673.9672,676.3185,space,2.3236,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
