init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0004,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0005,5.1354,y,5.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,5.1357,15.2762,space,10.1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,15.2979,16.2907,16.2911,16.7817,16.7825,17.0299,17.03,90,90,24.3149,space,7.2583,,24.3154,31.3638,space,7.0258,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,31.3723,32.3639,32.3642,32.8646,32.8651,33.114,33.114,105,105,36.9163,space,3.7886,,36.9164,41.258,space,4.3136,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,41.2718,42.2638,42.2638,42.7638,42.7639,43.0047,43.0047,24,204,45.9586,space,2.9344,,45.9587,49.3244,space,3.3423,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,49.3353,50.331,50.3311,50.8307,50.8308,51.0743,51.0745,66,66,54.493,space,3.4024,,54.4931,57.8227,space,3.2988,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,57.8361,58.8303,58.8304,59.3304,59.3305,59.5908,59.5909,18,18,61.3444,space,1.7355,,61.3445,65.414,space,4.0501,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,65.424,66.4138,66.4139,66.9146,66.9147,67.1643,67.1645,21,201,70.6312,space,3.4473,,70.6318,74.7337,space,4.0705,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deb2c9df87f5524e62c8959,65af5593cbfd19b26dc0c3d9,2024-01-22_23h59.24.493,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,74.7476,75.7475,75.7477,76.2502,76.2503,76.4974,76.4975,43,43,78.7512,space,2.2395,,78.7513,85.2006,space,6.4299,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
