init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,0,95.965,y,95.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,95.966,115.572,space,19.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,115.574,116.571,116.571,117.068,117.068,117.317,117.317,75,75,126.82,space,9.498,,126.82,139.651,space,12.822,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,139.651,140.651,140.651,141.147,141.147,141.396,141.396,147,147,145.201,space,3.801,,145.201,152.25,space,7.044,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,152.25,153.25,153.25,153.747,153.747,153.996,153.996,167,167,157.492,space,3.492,,157.492,161.893,space,4.394,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,161.894,162.893,162.893,163.39,163.39,163.638,163.638,50,50,166.935,space,3.291,,166.935,169.062,space,2.121,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,169.062,170.062,170.062,170.559,170.559,170.808,170.808,19,199,173.989,space,3.18,,173.989,175.692,space,1.696,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,175.692,176.692,176.692,177.19,177.19,177.438,177.438,46,46,179.929,space,2.488,,179.929,181.614,space,1.679,,0,5,5,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a44d48297bacfcc92dfef1,65af564cc4d5832b250a1412,2024-01-23_00h02.50.948,bars,2023.2.3,Win32,165.0165017,657b66ea316d21385b68909f,,,,,,,,,,,181.614,182.614,182.614,183.11,183.11,183.359,183.359,177,-3,185.48,space,2.117,,185.48,191.22,space,5.737,,0,6,6,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
