init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,0,10.66,y,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,10.66,20.066,space,9.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,20.078,21.065,21.066,21.567,21.567,21.815,21.815,162,162,31.255,space,9.38,,31.256,39.128,space,7.818,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,39.131,40.128,40.128,40.627,40.628,40.879,40.879,144,144,45.648,space,4.75,,45.649,50.858,space,5.178,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,50.859,51.857,51.857,52.357,52.358,52.607,52.607,52,52,57.586,space,4.962,,57.587,62.049,space,4.43,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,62.054,63.046,63.047,63.546,63.546,63.796,63.796,179,-1,71.295,space,7.48,,71.296,74.19,space,2.867,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,74.193,75.191,75.192,75.69,75.69,75.941,75.941,32,212,82.193,space,6.238,,82.193,84.69,space,2.47,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,84.692,85.689,85.69,86.191,86.191,86.44,86.44,31,31,90.378,space,3.923,,90.378,92.878,space,2.472,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7957036797da0019537ad1,65af55d5cbfd19b26dc0c3e7,2024-01-23_00h17.45.230,bars,2023.2.3,Win32,48.03073967,657b66ea316d21385b68909f,,,,,,,,,,,92.88,93.878,93.879,94.379,94.379,94.628,94.629,41,41,99.669,space,5.018,,99.671,102.419,space,2.723,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
