init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,0,84.913,y,84.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,84.913,98.8,space,13.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,98.827,99.819,99.82,100.316,100.317,100.564,100.565,90,90,111.523,space,10.912,,111.524,115.482,space,3.897,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,115.483,116.481,116.481,116.981,116.981,117.231,117.231,110,110,121.643,space,4.398,,121.643,126.64,space,4.963,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,126.675,127.653,127.653,128.152,128.152,128.406,128.406,27,27,135.994,space,7.573,,135.994,140.557,space,4.527,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,140.598,141.558,141.558,142.056,142.056,142.31,142.31,89,89,147.916,space,5.591,,147.916,152.063,space,4.11,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,152.107,153.065,153.065,153.562,153.562,153.81,153.81,39,39,156.826,space,3.006,,156.826,364.421,space,207.547,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,364.464,365.436,365.436,365.937,365.937,366.186,366.186,83,83,370.103,space,3.9,,370.104,371.147,space,0.978,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65a6598ce71a234ef2b83b31,65af56b1928510ff1336ce75,2024-01-23_01h20.12.953,bars,2023.2.3,Win32,62.5,657b66ea316d21385b68909f,,,,,,,,,,,371.148,372.146,372.146,372.646,372.646,372.896,372.896,0,0,376.029,space,3.115,,376.029,377.607,space,1.559,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
