init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0002,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0003,12.3841,y,12.3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,12.3842,29.7672,space,17.3603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,29.7737,30.767,30.7671,31.267,31.267,31.5169,31.517,162,-18,35.0171,space,3.4779,,35.0172,43.6838,space,8.656,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,43.6881,44.6835,44.6835,45.1835,45.1835,45.4335,45.4335,0,0,46.2168,space,0.777,,46.2168,47.6668,space,1.4344,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,47.667,48.6668,48.6668,49.1668,49.1668,49.4168,49.4168,2,2,51.7835,space,2.3536,,51.7835,52.8334,space,1.0332,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,52.8337,53.8334,53.8335,54.3334,54.3334,54.5834,54.5834,28,28,58.4501,space,3.8571,,58.4501,59.5334,space,1.0665,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,59.5336,60.5334,60.5334,61.0333,61.0333,61.2833,61.2833,15,15,64.1667,space,2.8669,,64.1668,65.2167,space,1.0302,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,65.2169,66.2167,66.2167,66.7167,66.7167,66.9667,66.9667,63,63,71.45,space,4.4738,,71.4501,73,space,1.5363,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eb8e53084a7aa842e9698e4,65af560ecbfd19b26dc0c3f5,2024-01-23_03h02.33.829,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,73.0002,73.9999,73.9999,74.4999,74.5,74.7499,74.7499,96,96,76.7666,space,2.0015,,76.7667,77.7999,space,1.0237,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
