init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0005,0.0006,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0008,12.0452,y,12.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,12.0454,32.3778,space,20.3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,32.3816,33.3779,33.3781,33.8779,33.8781,34.1279,34.128,176,-4,39.178,space,5.0265,,39.1781,46.7445,space,7.5509,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,46.7448,47.744,47.7441,48.2442,48.2442,48.4941,48.4942,178,178,52.5107,space,4.009,,52.5107,55.544,space,3.0159,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,55.5444,56.5438,56.5438,57.0438,57.0438,57.2938,57.2938,35,35,59.4439,space,2.1373,,59.4439,60.3938,space,0.9453,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,60.3941,61.3936,61.3936,61.8937,61.8939,62.1437,62.1437,16,196,66.7438,space,4.5833,,66.7438,69.4604,space,2.704,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,69.4607,70.4601,70.4601,70.9601,70.9602,71.2101,71.2101,99,99,73.9436,space,2.7257,,73.9437,74.8101,space,0.848,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,74.8105,75.8102,75.8103,76.31,76.31,76.56,76.56,57,57,80.5268,space,3.9593,,80.5268,81.2433,space,0.7044,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f458cb79f9aa31a7d7ab81b,65af55fd304b05200d920863,2024-01-23_06h00.54.101,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,81.2436,82.2431,82.2432,82.7433,82.7433,82.9933,82.9933,141,141,85.7433,space,2.742,,85.7433,86.4431,space,0.6867,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
