init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,0,6.206,y,6.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,6.206,14.435,space,8.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,14.439,15.434,15.434,15.935,15.935,16.184,16.184,122,122,23.081,space,6.884,,23.081,26.726,space,3.634,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,26.726,27.726,27.726,28.226,28.226,28.476,28.476,79,79,34.15,space,5.668,,34.15,40.949,space,6.795,,0,1,1,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,40.951,41.948,41.948,42.448,42.449,42.699,42.699,13,13,45.018,space,2.313,,45.018,50.442,space,5.417,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,50.443,51.442,51.442,51.942,51.942,52.192,52.192,34,34,55.38,space,3.181,,55.38,62.007,space,6.623,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,62.007,63.004,63.005,63.505,63.505,63.754,63.754,150,150,67.859,space,4.099,,67.859,70.561,space,2.695,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,70.562,71.56,71.56,72.06,72.06,72.31,72.31,25,205,77.172,space,4.855,,77.172,79.422,space,2.243,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,79.423,80.422,80.422,80.922,80.922,81.172,81.172,19,199,85.707,space,4.531,,85.707,88.443,space,2.728,,0,6,6,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,88.443,89.443,89.443,89.943,89.943,90.193,90.193,110,110,91.741,space,1.541,,91.741,92.429,space,0.68,,0,7,7,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,92.429,93.43,93.43,93.93,93.93,94.179,94.179,124,124,94.735,space,0.551,,94.735,96.088,space,1.35,,0,8,8,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,96.089,97.089,97.089,97.589,97.589,97.839,97.839,145,145,101.138,space,3.295,,101.138,103.506,space,2.364,,0,9,9,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.507,112.256,space,8.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.26,116.576,right,4.301,,116.576,2,2,117.575,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.576,119.075,right,1.495,,119.075,1,2,120.076,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.076,121.326,right,1.244,,121.326,2,2,122.326,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.326,123.597,right,1.266,,123.597,3,2,124.597,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.597,125.583,right,0.979,,125.583,1,2,126.583,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.583,126.943,right,0.354,,126.943,4,2,127.944,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.944,128.631,left,0.68,,128.631,1,1,129.631,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.632,130.111,right,0.473,,130.111,1,2,131.11,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.11,131.708,right,0.595,,131.708,0,2,132.708,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.708,132.937,left,0.223,,132.937,2,1,133.937,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.937,134.43,left,0.487,,134.43,0,1,135.43,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.432,135.701,right,0.266,,135.701,3,2,136.701,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.702,137.041,right,0.334,,137.041,6,2,138.042,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6026891e02f12c316ba8bcbb,65af541f996cbb0023daa0eb,2024-01-23_06h52.35.127,bars,2023.2.3,Win32,144.092219,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.042,138.374,right,0.327,,138.374,3,2,139.375,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
