init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0007,117.0687,y,117.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,117.0688,132.6585,space,15.5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,132.6636,133.6676,133.6677,134.1677,134.1678,134.4176,134.4178,0,0,141.1012,space,6.6626,,141.1015,151.5176,space,10.3893,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,151.5269,152.5167,152.5169,153.0167,153.0168,153.2668,153.2668,0,180,162.1833,space,8.9034,,162.1833,164.7832,space,2.5735,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,164.7838,165.783,165.783,166.283,166.283,166.5329,166.533,141,-39,172.4329,space,5.8931,,172.4329,179.3494,space,6.8973,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,179.3585,180.3492,180.3493,180.8492,180.8492,181.0991,181.0992,53,53,187.1824,space,6.0707,,187.1825,191.9322,space,4.7311,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,191.9413,192.932,192.932,193.4321,193.4321,193.6821,193.6821,0,0,198.3153,space,4.6168,,198.3154,202.2486,space,3.9074,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,202.2577,203.2484,203.2485,203.7483,203.7484,203.9984,203.9985,101,101,207.515,space,3.5001,,207.5151,209.2651,space,1.7264,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59cbe23a916c4d0001094710,65af546351c2a1f8263dc7f1,2024-01-23_06h54.08.365,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,209.2655,210.2648,210.2649,210.7648,210.7648,211.0148,211.0148,147,-33,215.0982,space,4.0672,,215.0982,216.1648,space,1.0466,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
