init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0004,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,0.0005,93.957,y,93.8836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,93.9571,102.4506,space,8.4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,102.4533,103.4484,103.4484,103.9394,103.9395,104.1965,104.1966,44,44,142.4373,space,38.1478,,142.4374,148.1493,space,5.6181,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,148.1541,149.1047,149.1047,149.5936,149.5936,149.8346,149.8346,6,6,152.9486,space,3.0405,,152.9486,157.7537,space,4.7154,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,157.7585,158.7525,158.7525,159.2564,159.2565,159.5168,159.5169,97,97,162.769,space,3.1652,,162.769,166.0213,space,3.1734,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,166.0215,166.9965,166.9965,167.4322,167.4323,167.7017,167.7017,26,206,178.0361,space,10.258,,178.0361,182.5408,space,4.4256,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,182.5457,183.5179,183.518,184.0084,184.0084,184.2538,184.2538,60,60,188.7858,space,4.4569,,188.7859,190.7513,space,1.8819,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,190.7517,191.7565,191.7565,192.2287,192.2287,192.4121,192.4121,177,177,194.6932,space,2.2064,,194.6932,198.2995,space,3.5246,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656f94ed904a54c0c02bdc2a,65af547f72f417c9b9fa8802,2024-01-23_06h54.59.061,bars,2023.2.3,Win32,15.55209953,657b66ea316d21385b68909f,,,,,,,,,,,198.3047,199.331,199.331,199.8413,199.8414,200.0997,200.0997,150,-30,205.0245,space,4.8461,,205.0245,206.9881,space,1.8767,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
