init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0007,13.392,y,13.3746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,13.3923,95.2244,space,81.7998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,95.2366,96.2396,96.2396,96.741,96.7415,96.9891,96.9894,0,180,110.5323,space,13.5011,,110.5324,117.6287,space,7.0707,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,117.6374,118.6276,118.6277,119.1273,119.1273,119.3779,119.378,81,81,125.2249,space,5.8272,,125.225,130.9048,space,5.6569,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,130.9132,131.9043,131.9044,132.4044,132.4045,132.6539,132.6539,55,55,135.4188,space,2.7588,,135.4189,137.4679,space,2.0336,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,137.4681,138.4675,138.4675,138.9678,138.9679,139.2178,139.2179,19,199,144.8311,space,5.6034,,144.8312,151.8938,space,7.0306,,0,3,3,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,151.9023,152.8937,152.8938,153.3932,153.3933,153.6427,153.6427,47,47,156.7413,space,3.081,,156.7414,160.756,space,3.999,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,160.7651,161.7554,161.7554,162.2552,162.2553,162.5046,162.5046,165,-15,165.2704,space,2.7477,,165.2704,173.3659,space,8.0734,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e31e6491faa251bf58151ce,65af551af3ebe8cc90bc71b0,2024-01-23_06h57.14.475,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,173.3758,174.366,174.3661,174.8653,174.8654,175.1148,175.1148,40,220,178.563,space,3.4387,,178.563,182.0624,space,3.4912,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
