init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0004,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0005,7.6704,y,7.6539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,7.6709,40.3525,space,32.6575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,40.3673,41.3533,41.3536,41.8539,41.8542,42.1042,42.1045,16,196,59.6897,space,17.5411,,59.6901,80.7273,space,20.9916,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,80.7498,81.7431,81.7433,82.2437,82.2437,82.494,82.4941,18,198,89.0506,space,6.5269,,89.0506,97.5926,space,8.513,,0,1,1,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,97.6154,98.5934,98.5934,99.0939,99.0941,99.3443,99.3443,43,223,104.6662,space,5.2927,,104.6663,108.5365,space,3.8365,,0,2,2,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,108.5496,109.5372,109.5372,110.0381,110.0382,110.2884,110.2885,53,53,114.8315,space,4.5366,,114.8315,120.4655,space,5.6139,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,120.4889,121.4659,121.4659,121.9667,121.9667,122.217,122.217,92,92,128.5068,space,6.2741,,128.5068,138.2497,space,9.7141,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,138.2749,139.2507,139.2508,139.7511,139.7511,140.0013,140.0015,35,35,146.0577,space,6.0274,,146.0579,151.2626,space,5.1657,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,578e215abaec1b0001697778,65af555c304b05200d920850,2024-01-23_06h58.01.027,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,151.2863,152.2637,152.2638,152.7641,152.7642,153.0144,153.0145,5,5,160.539,space,7.5107,,160.5391,165.0265,space,4.4488,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
