init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.001,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,0.001,7.979,y,7.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,7.979,27.019,space,18.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,27.022,27.993,27.993,28.46,28.46,28.7,28.7,90,90,38.417,space,9.659,,38.417,46.915,space,8.438,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,46.916,47.888,47.888,48.353,48.353,48.59,48.59,175,175,54.881,space,6.231,,54.881,61.532,space,6.596,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,61.536,62.52,62.52,62.985,62.985,63.211,63.211,163,-17,67.708,space,4.439,,67.708,77.504,space,9.736,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,77.508,78.506,78.506,78.991,78.991,79.226,79.226,99,99,82.962,space,3.677,,82.962,85.38,space,2.354,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,85.38,86.38,86.38,86.864,86.864,87.101,87.101,62,62,91.103,space,3.945,,91.103,137.52,space,46.359,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,137.525,138.534,138.534,139.002,139.002,139.242,139.242,65,65,145.548,space,6.25,,145.548,150.764,space,5.156,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652871abf3042f76d3105444,65af554b941b6f73074ccf8c,2024-01-23_07h00.06.392,bars,2023.2.3,Win32,16.39344262,657b66ea316d21385b68909f,,,,,,,,,,,150.769,151.735,151.735,152.215,152.215,152.458,152.458,22,22,160.741,space,8.223,,160.741,163.239,space,2.443,,0,6,6,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
