init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
1E-04,0.0002,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0003,12.7934,y,12.7851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,12.7935,74.854,space,62.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,74.8574,75.8539,75.854,76.3539,76.354,76.6038,76.604,91,91,95.9525,space,19.3272,,95.9526,117.2495,space,21.2832,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,117.2556,118.2493,118.2494,118.7488,118.7489,118.9991,118.9991,114,114,122.8156,space,3.7997,,122.8156,133.6309,space,10.7969,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,133.6372,134.631,134.631,135.1309,135.1309,135.3813,135.3814,165,165,139.3805,space,3.9862,,139.3805,147.2298,space,7.8254,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,147.2359,148.2295,148.2295,148.7294,148.7294,148.9793,148.9794,179,-1,156.0619,space,7.0663,,156.0619,161.2278,space,5.1498,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,161.2338,162.228,162.2281,162.7279,162.728,162.9779,162.9779,120,120,165.6608,space,2.6723,,165.6608,172.4771,space,6.792,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,172.483,173.4767,173.4768,173.9767,173.9767,174.2268,174.2269,143,143,179.2929,space,5.0525,,179.293,182.2423,space,2.937,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c55c7cb9b583c000159f790,65af55d03505e22b54cd2196,2024-01-23_07h00.44.044,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,182.2482,183.2422,183.2422,183.7424,183.7424,183.9922,183.9922,31,31,189.3083,space,5.3058,,189.3083,192.7913,space,3.4631,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
