init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0005,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,0.0007,99.8684,y,99.8578,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,99.8685,126.9133,space,27.0314,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,126.9197,127.9122,127.9125,128.4124,128.4126,128.6624,128.6627,5,185,167.6014,space,38.9138,,167.6018,228.3055,space,60.6768,0.0005,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,228.3062,229.3039,229.304,229.8047,229.8048,230.0546,230.0547,55,55,248.2897,space,18.2199,0.0004,248.2898,253.5393,space,5.2324,0.0002,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,253.5515,254.54,254.54,255.0397,255.0398,255.2893,255.2893,8,8,272.9912,space,17.6804,0.0001,272.9913,280.2421,space,7.221,0.0001,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,280.2538,281.2419,281.2419,281.7417,281.7418,281.9924,281.9926,122,122,299.0429,space,17.0394,0.0002,299.0429,299.0599,space,0.0009,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,299.0604,300.0594,300.0595,300.5598,300.5601,300.8086,300.8087,46,46,316.7438,space,15.9178,,316.7439,324.9274,space,8.1484,0.0002,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,324.9393,325.9273,325.9273,326.4272,326.4273,326.6766,326.6767,137,137,332.8441,space,6.1604,,332.8444,335.8621,space,2.9917,0.0003,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5493207f5e0c000143e96e,65af5575928510ff1336ce44,2024-01-23_07h00.53.074,bars,2023.2.3,Linux x86_64,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,335.8628,336.861,336.861,337.3612,337.3613,337.6118,337.6119,3,3,348.245,space,10.619,,348.2451,352.9958,space,4.7223,0.0002,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
