init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.0014,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,0.0018,8.0582,y,8.0371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,8.0585,18.6904,space,10.6108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,18.7001,19.7062,19.7064,20.1976,20.198,20.4387,20.439,0,0,25.7734,space,5.2732,,25.7752,33.0733,space,7.248,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,33.0887,34.09,34.09,34.5973,34.5974,34.8298,34.8298,24,24,40.53,space,5.6835,,40.5301,44.8621,space,4.3027,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,44.879,45.8724,45.8724,46.3718,46.3719,46.6228,46.6228,147,-33,52.2387,space,5.6023,,52.2388,55.6067,space,3.3338,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,55.6186,56.6072,56.6073,57.0967,57.0968,57.3467,57.3467,141,141,61.7435,space,4.3773,,61.7437,63.7979,space,2.0291,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,63.7985,64.7894,64.7895,65.2958,65.2958,65.5484,65.5485,27,27,70.6322,space,5.0688,,70.6323,73.2643,space,2.6026,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,73.2793,74.2739,74.2739,74.7723,74.7724,75.0316,75.0317,170,-10,80.0277,space,4.9801,,80.0278,81.6079,space,1.5439,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6135d819f5555fe9776deb7e,65af554d9e24a972e38d42b4,2024-01-23_07h01.47.832,bars,2023.2.3,Win32,60.00960154,657b66ea316d21385b68909f,,,,,,,,,,,81.6085,82.607,82.6071,83.1071,83.1071,83.3488,83.3489,75,75,87.2231,space,3.8557,,87.2233,88.4419,space,1.1936,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
