init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0005,322.0483,y,322.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,322.0485,345.7517,space,23.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,345.7637,346.7671,346.7671,347.2537,347.2538,347.5,347.5001,45,45,365.787,space,18.2666,,365.7871,376.906,space,11.0927,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,376.9138,377.9047,377.9048,378.4041,378.4041,378.6572,378.6572,146,-34,387.1793,space,8.5096,,387.1794,394.5397,space,7.3285,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,394.5469,395.5381,395.5381,396.0372,396.0373,396.2873,396.2874,26,206,400.0339,space,3.7189,,400.034,402.9313,space,2.8714,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,402.9316,403.9339,403.9339,404.4299,404.4299,404.6796,404.6796,115,115,409.0963,space,4.3968,,409.0963,412.0727,space,2.9528,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,412.08,413.0714,413.0716,413.5713,413.5714,413.8211,413.8212,142,142,418.7498,space,4.9128,,418.7498,422.097,space,3.3207,,0,4,4,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,422.1043,423.0958,423.0958,423.5953,423.5953,423.845,423.845,24,24,425.56,space,1.7039,,425.5601,430.5099,space,4.9297,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64971e71ba666687996c6072,65af56a0cf3d8856f5c0ca75,2024-01-23_07h03.22.689,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,430.5169,431.5076,431.5076,432.004,432.004,432.2539,432.2539,145,145,435.3683,space,3.0911,,435.3683,440.2465,space,4.8505,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
