init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,0,194.827,y,194.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,194.827,199.862,space,5.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,199.872,200.863,200.863,201.363,201.363,201.614,201.614,93,-87,207.506,space,5.875,,207.506,208.854,space,1.329,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,208.854,209.855,209.855,210.355,210.355,210.605,210.605,145,-35,213.599,space,2.987,,213.599,221.055,space,7.441,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,221.061,222.056,222.056,222.556,222.556,222.806,222.806,32,212,228.1,space,5.289,,228.1,231.11,space,2.997,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,231.115,232.11,232.11,232.61,232.61,232.86,232.86,40,220,237.016,space,4.151,,237.016,238.044,space,1.011,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,238.044,239.045,239.045,239.545,239.545,239.795,239.795,26,26,241.073,space,1.273,,241.073,243.582,space,2.502,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,243.582,244.583,244.583,245.083,245.083,245.333,245.333,70,70,249.113,space,3.775,,249.113,251.58,space,2.452,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,251.58,252.58,252.58,253.08,253.08,253.331,253.331,157,157,254.783,space,1.446,,254.783,255.791,space,1.002,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,255.791,256.793,256.793,257.291,257.291,257.538,257.538,178,178,258.382,space,0.834,,258.382,260.029,space,1.635,,0,7,7,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,260.029,261.029,261.029,261.53,261.53,261.78,261.78,6,186,263.885,space,2.102,,263.885,265.789,space,1.896,,0,8,8,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,654afb2d87012840100daf23,65af56a874eb1d0e84c24b39,2024-01-23_07h03.56.399,bars,2023.2.3,Win32,166.6666667,657b66ea316d21385b68909f,,,,,,,,,,,265.789,266.789,266.789,267.291,267.291,267.54,267.54,89,89,268.951,space,1.405,,268.951,270.355,space,1.398,,0,9,9,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
