init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0004,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,0.0006,6.864,y,6.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,6.864,19.184,space,12.3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,19.1867,20.1839,20.1839,20.684,20.6841,20.934,20.934,101,-79,29.3583,space,8.4184,,29.3585,35.7265,space,6.3571,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,35.7268,36.7262,36.7263,37.2263,37.2264,37.4763,37.4764,46,226,40.4001,space,2.918,,40.4002,41.8724,space,1.4611,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,41.8725,42.8723,42.8724,43.3724,43.3724,43.6224,43.6224,150,-30,48.2685,space,4.6399,,48.2685,49.9838,space,1.7012,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,49.9841,50.9838,50.9838,51.4838,51.4838,51.7338,51.7338,92,92,53.0674,space,1.3285,,53.0674,54.5604,space,1.4901,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,54.5607,55.5604,55.5604,56.0604,56.0604,56.3105,56.3105,5,5,60.1232,space,3.8065,,60.1232,63.2067,space,3.0722,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,63.2069,64.2067,64.2067,64.7068,64.7068,64.9567,64.9568,34,34,68.089,space,3.1303,,68.089,70.8391,space,2.7356,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656e0220772443817238eba8,65af56a6be6af047326a9909,2024-01-23_07h04.42.655,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,70.8393,71.8391,71.8391,72.339,72.3391,72.5892,72.5892,90,270,77.152,space,4.5567,,77.1521,91.5831,space,14.4203,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
