init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,0.0007,431.0886,y,431.0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,431.0889,443.5795,space,12.4789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,443.585,444.5832,444.5833,445.0823,445.0824,445.3326,445.3327,26,206,458.5757,space,13.2208,,458.576,463.5035,space,4.8963,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,463.5127,464.5036,464.5037,465.0046,465.0046,465.2549,465.2549,129,129,470.1158,space,4.849,,470.1159,472.5363,space,2.4007,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,472.5366,473.5378,473.5378,474.0389,474.0389,474.2896,474.2897,29,209,479.5167,space,5.2048,,479.5167,481.3534,space,1.8168,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,481.3536,482.3563,482.3563,482.8563,482.8563,483.1082,483.1082,117,117,484.4266,space,1.3084,,484.4266,485.8638,space,1.4232,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,485.8642,486.8645,486.8645,487.3656,487.3657,487.6158,487.6158,79,79,491.8239,space,4.1869,,491.8239,494.13,space,2.2795,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,494.1304,495.1308,495.1308,495.6317,495.6317,495.8818,495.8819,91,91,506.4695,space,10.5659,,506.4696,508.3569,space,1.8655,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6594e0c8679c1dee303c33b8,65af5804cbfd19b26dc0c460,2024-01-23_07h09.25.487,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,508.3572,509.3606,509.3606,509.8595,509.8595,510.111,510.1111,179,179,520.3653,space,10.2397,,520.3654,521.967,space,1.5817,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
