init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,0.0006,3.7619,y,3.7436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,3.762,11.1091,space,7.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,11.1149,12.1189,12.1191,12.6148,12.615,12.8608,12.861,1,181,18.1462,space,5.253,,18.1464,22.0432,space,3.8746,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,22.0437,23.0453,23.0454,23.5388,23.5389,23.7865,23.7866,32,32,25.9156,space,2.1163,,25.9156,26.9853,space,1.0551,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,26.9856,27.9867,27.9867,28.4819,28.4819,28.7289,28.7289,4,4,32.1187,space,3.3796,,32.1188,33.5091,space,1.3711,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,33.5094,34.513,34.513,35.0051,35.0051,35.2522,35.2522,132,132,36.8053,space,1.5394,,36.8054,37.603,space,0.7802,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,37.6036,38.5918,38.5918,39.0853,39.0853,39.3305,39.3305,91,91,43.2786,space,3.9344,,43.2786,44.3714,space,1.0716,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,44.3717,45.3737,45.3737,45.869,45.8691,46.1157,46.1157,167,-13,48.3389,space,2.2016,,48.339,49.0398,space,0.6848,,0,5,5,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,49.0401,50.0301,50.0302,50.5248,50.5248,50.7728,50.7728,76,76,53.0096,space,2.221,,53.0096,53.5917,space,0.5645,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63c5335da2b625ab1ade7e7c,65af597af3ebe8cc90bc7241,2024-01-23_07h16.20.781,bars,2023.2.3,Win32,57.80346821,657b66ea316d21385b68909f,,,,,,,,,,,53.5921,54.5914,54.5914,55.0847,55.0848,55.3318,55.3318,29,29,59.1521,space,3.8071,,59.1521,59.8036,space,0.6257,,0,7,7,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
