init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0002,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,0.0004,35.595,y,35.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,35.5951,54.2628,space,18.6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,54.2705,55.2695,55.2696,55.7696,55.7696,56.0196,56.0196,0,0,61.784,space,5.7472,,61.7841,69.1039,space,7.3055,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,69.109,70.1055,70.1055,70.6036,70.6036,70.8537,70.8537,22,202,76.1179,space,5.2598,,76.1179,85.9448,space,9.8139,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,85.9499,86.9517,86.9517,87.4448,87.4448,87.6948,87.6948,20,200,90.4728,space,2.7706,,90.4728,93.6466,space,3.1625,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,93.6467,94.6466,94.6466,95.1466,95.1466,95.3966,95.3966,168,168,99.7928,space,4.3889,,99.7928,102.7304,space,2.9238,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,102.7352,103.7304,103.7305,104.2306,104.2306,104.4804,104.4804,171,171,109.6544,space,5.169,,109.6544,111.5018,space,1.8369,,0,4,4,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,111.502,112.5017,112.5017,113.0017,113.0018,113.2517,113.2517,51,51,116.5298,space,3.2701,,116.5298,118.7591,space,2.2182,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae78fc9cd81e8e26612cb2,65af5e862cf40634cd5d71c7,2024-01-23_07h41.46.030,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,118.7592,119.759,119.759,120.2592,120.2592,120.5091,120.5091,48,48,122.7871,space,2.27,,122.7871,124.0232,space,1.2301,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
