init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,0.0006,525.6905,y,525.6708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,525.6909,535.925,space,10.2193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,535.9303,536.9315,536.9316,537.4314,537.4316,537.6813,537.6816,91,91,542.7794,space,5.089,,542.7795,553.1967,space,10.3991,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,553.2055,554.2029,554.203,554.7031,554.7032,554.953,554.9531,54,54,559.0435,space,4.084,,559.0436,562.2453,space,3.1853,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,562.2538,563.2519,563.2519,563.7521,563.7521,564.002,564.0021,147,147,568.3011,space,4.2933,,568.3012,570.6068,space,2.2916,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,570.6075,571.6067,571.6067,572.1068,572.1069,572.3568,572.3568,14,14,576.1421,space,3.7786,,576.1421,578.6562,space,2.501,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,578.6564,579.6557,579.6557,580.1558,580.1559,580.4058,580.4059,158,158,584.858,space,4.45,,584.8581,587.8508,space,2.9773,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,587.8596,588.8577,588.8577,589.3511,589.3511,589.6008,589.6008,179,179,591.122,space,1.515,,591.122,592.5874,space,1.4606,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,601d7556fe4dfb0d99b3d825,65af52bacbfd19b26dc0c392,2024-01-23_07h46.58.626,bars,2023.2.3,Win32,144.9275362,657b66ea316d21385b68909f,,,,,,,,,,,592.5877,593.5873,593.5873,594.0873,594.0873,594.3372,594.3372,49,49,598.7682,space,4.4241,,598.7683,600.1018,space,1.3167,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
