init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0005,9.463,y,9.4442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,9.4632,24.6635,space,15.1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,24.6688,25.6614,25.6616,26.1631,26.1633,26.4144,26.4145,90,90,33.8061,space,7.3609,,33.8063,41.0675,space,7.23,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,41.0844,42.0684,42.0685,42.571,42.5711,42.8184,42.8185,0,180,52.8061,space,9.9528,,52.8061,57.2401,space,4.4054,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,57.2495,58.2402,58.2403,58.7377,58.7378,58.9745,58.9745,157,157,64.3812,space,5.3716,,64.3813,104.9731,space,40.5652,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,104.9845,105.9764,105.9764,106.4576,106.4577,106.7101,106.7102,156,156,109.1548,space,2.4268,,109.1548,111.1675,space,1.9848,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,111.1679,112.1608,112.1609,112.6492,112.6492,112.8988,112.8988,162,162,114.9427,space,2.0267,,114.9427,115.8729,space,0.915,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,115.8732,116.8632,116.8632,117.3509,117.3509,117.5993,117.5993,110,110,119.3568,space,1.7418,,119.3569,121.8015,space,2.4276,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,121.8019,122.7833,122.7833,123.27,123.27,123.5358,123.5358,65,65,127.4342,space,3.8804,,127.4342,130.5447,space,3.0809,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,130.5451,131.5491,131.5492,132.0351,132.0351,132.2682,132.2682,153,153,134.9599,space,2.6602,,134.9599,136.2626,space,1.2834,,0,7,7,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,136.2629,137.2675,137.2675,137.7708,137.7709,138.0207,138.0208,171,-9,143.726,space,5.6882,,143.7261,144.6447,space,0.8894,,0,8,8,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,144.6452,145.6473,145.6474,146.1508,146.1509,146.4017,146.4017,153,-27,148.709,space,2.2756,,148.709,150.5645,space,1.8386,,0,9,9,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.5655,188.5822,space,37.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.5943,189.5542,left,0.9406,,189.5545,9,1,190.555,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5558,191.5944,left,1.0215,,191.5944,10,1,192.5971,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.5977,193.249,right,0.6345,,193.249,2,2,194.2486,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.2493,194.804,right,0.5203,,194.804,3,2,195.8053,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.8057,196.3756,right,0.552,,196.3756,1,2,197.3947,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.3953,197.6979,right,0.2844,,197.698,4,2,198.6987,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.6992,198.988,left,0.2701,,198.988,1,1,199.9891,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.9896,200.2045,right,0.1832,,200.2045,1,2,201.2072,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2078,201.5929,right,0.352,,201.5929,0,2,202.5971,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5978,203.1305,right,0.5015,,203.1306,3,2,204.1191,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610bb066fa8d2a5647a40c77,65af534e3f5fcc7f4ffca766,2024-01-23_07h50.50.927,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.1195,204.5185,left,0.3825,,204.5185,0,1,205.5079,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
