init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0004,8.6111,y,8.6003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,8.6113,33.0909,space,24.4576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,33.0956,34.0926,34.0929,34.5912,34.5914,34.8414,34.8415,47,47,39.6262,space,4.7516,,39.6262,46.1806,space,6.528,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,46.2057,47.1955,47.1957,47.6958,47.6958,47.9456,47.9456,47,47,49.6799,space,1.7017,,49.68,51.642,space,1.9351,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,51.6435,52.647,52.647,53.1404,53.1406,53.3806,53.3807,162,162,55.9815,space,2.572,,55.9815,59.469,space,3.4609,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,59.4958,60.483,60.483,60.9831,60.9831,61.233,61.233,31,31,64.0176,space,2.752,,64.0177,65.3788,space,1.3205,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,65.3795,66.3682,66.3682,66.8781,66.8782,67.1184,67.1184,158,158,69.108,space,1.9629,,69.1081,70.2862,space,1.1554,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,70.2868,71.2856,71.2857,71.7858,71.7859,72.0365,72.0365,91,91,74.4041,space,2.3353,,74.4042,75.482,space,1.051,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,75.4826,76.4712,76.4712,76.9714,76.9716,77.2215,77.2216,139,139,81.4726,space,4.2186,,81.4727,82.4566,space,0.9517,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,82.4575,83.4486,83.4486,83.9396,83.9396,84.1903,84.1903,29,29,86.1243,space,1.9017,,86.1243,87.0748,space,0.9179,,0,7,7,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,87.0755,88.0747,88.0748,88.5749,88.575,88.8251,88.8251,24,24,90.1197,space,1.2679,,90.1197,90.9925,space,0.8513,,0,8,8,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,90.9935,91.9926,91.9927,92.4928,92.4929,92.7429,92.7429,0,180,94.4043,space,1.6347,,94.4044,95.1271,space,0.7018,,0,9,9,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1288,112.6338,space,17.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66,114.8678,left,2.1746,,114.8682,9,1,115.8668,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8679,116.6672,left,0.781,,116.6673,10,1,117.6674,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6682,118.3844,right,0.7,,118.3845,2,2,119.3844,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.385,119.935,left,0.5348,,119.935,7,1,120.9351,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9357,121.5187,right,0.5642,,121.5188,1,2,122.5187,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5193,123.0523,left,0.5208,,123.0525,4,1,124.0525,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0531,124.6862,left,0.6184,,124.6864,1,1,125.6864,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.687,126.1369,right,0.4311,,126.137,1,2,127.1369,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.1375,127.5208,left,0.3661,,127.521,1,1,128.5207,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d33ff76f665c6001ab9aa1e,65af538d60bcc53ab4af7bc0,2024-01-23_07h51.23.036,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5214,128.7709,left,0.2306,,128.7709,2,1,129.7711,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
