init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,0,6.799,y,6.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,6.799,17.936,space,11.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,17.942,18.934,18.935,19.435,19.435,19.685,19.685,0,180,27.354,space,7.65,,27.354,34.056,space,6.68,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,34.056,35.056,35.056,35.557,35.557,35.806,35.806,0,0,41.441,space,5.623,,41.441,45.443,space,3.984,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,45.444,46.443,46.443,46.943,46.943,47.194,47.194,45,45,51.345,space,4.134,,51.345,58.497,space,7.134,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,58.5,59.497,59.497,59.997,59.998,60.247,60.247,11,11,64.716,space,4.455,,64.716,70.016,space,5.28,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,70.017,71.017,71.017,71.517,71.517,71.767,71.767,135,135,75.135,space,3.351,,75.136,78.736,space,3.584,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,78.736,79.737,79.737,80.236,80.236,80.486,80.486,98,98,82.871,space,2.369,,82.871,86.255,space,3.368,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,86.255,87.255,87.255,87.755,87.755,88.006,88.006,16,16,89.44,space,1.417,,89.44,91.907,space,2.452,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,650aee824c25ddbb9bee2024,65af53f67219ae981f60fda5,2024-01-23_07h53.52.044,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,91.908,92.907,92.907,93.407,93.407,93.658,93.658,59,59,96.274,space,2.604,,96.274,97.909,space,1.618,,0,7,7,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
