init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0005,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0007,65.5103,y,65.4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,65.5104,298.9232,space,233.3697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,298.9285,299.9228,299.923,300.4244,300.4246,300.6726,300.6727,35,35,309.1913,space,8.4828,,309.1915,342.3875,space,33.1622,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,342.3883,343.3845,343.3845,343.8901,343.8903,344.1199,344.12,168,168,349.4363,space,5.2881,,349.4363,352.7945,space,3.323,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,352.7951,353.7916,353.7916,354.2869,354.287,354.5482,354.5482,140,140,359.9584,space,5.3832,,359.9585,364.2972,space,4.3091,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,364.3083,365.2998,365.2999,365.8003,365.8004,366.0541,366.0541,90,90,372.8167,space,6.7469,,372.8167,382.1226,space,9.2668,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,382.1343,383.1391,383.1392,383.6159,383.616,383.8729,383.873,28,28,391.4384,space,7.5463,,391.4384,392.9788,space,1.5056,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,392.9795,393.9861,393.9863,394.4809,394.481,394.7202,394.7202,7,7,402.7737,space,8.0253,,402.7738,409.8049,space,6.993,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61090b7186e1761f97308af9,65af5320fa16a017ecb7807b,2024-01-23_07h54.08.173,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,409.8146,410.8139,410.8141,411.321,411.3212,411.547,411.5471,20,20,418.5204,space,6.947,,418.5205,438.9152,space,20.3589,,0,6,6,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
