init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0005,0.001,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0014,17.2951,y,17.2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,17.2952,45.1176,space,27.8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,45.1266,46.1255,46.1257,46.6254,46.6256,46.8747,46.8749,59,59,54.5168,space,7.6007,,54.5172,70.5532,space,15.9954,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,70.5688,71.5662,71.5664,72.0663,72.0664,72.317,72.3171,52,52,85.4204,space,13.0873,,85.4204,90.9645,space,5.5127,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,90.9772,91.9801,91.9801,92.4797,92.4798,92.7295,92.7296,120,120,107.3155,space,14.5698,,107.3155,112.1449,space,4.8007,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,112.16,113.1596,113.1596,113.6586,113.6586,113.9087,113.9088,59,59,119.9037,space,5.9769,,119.9037,123.1337,space,3.1989,,0,3,3,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,123.1342,124.1318,124.1318,124.6316,124.6316,124.8827,124.8829,101,101,137.2542,space,12.3638,,137.2544,143.848,space,6.5678,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,143.8623,144.8617,144.8619,145.3608,145.3608,145.6113,145.6113,133,133,152.8374,space,7.2104,,152.8375,156.6503,space,3.7776,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,156.6637,157.6663,157.6664,158.1651,158.1651,158.4153,158.4153,144,144,162.6446,space,4.2132,,162.6447,165.7415,space,3.062,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,165.7559,166.7567,166.7567,167.2564,167.2565,167.5061,167.5062,156,156,171.0693,space,3.5466,,171.0694,173.1509,space,2.0551,,0,7,7,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,173.1513,174.1496,174.1497,174.6492,174.6492,174.8988,174.8989,175,-5,182.493,space,7.585,,182.493,184.8607,space,2.3407,,0,8,8,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,184.8614,185.855,185.855,186.3563,186.3563,186.6039,186.6039,29,29,194.0799,space,7.4603,,194.0799,196.5615,space,2.4485,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.5633,232.3605,space,35.7749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.3776,241.3355,right,8.9197,,241.3357,2,2,242.3329,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.3335,251.7905,left,9.4415,,251.7905,10,1,252.7891,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.8022,256.6854,right,3.8693,,256.6855,2,2,257.6844,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.6972,259.8668,left,2.1571,,259.867,7,1,260.8642,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.8769,262.2968,left,1.4109,,262.2969,5,1,263.2954,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.2959,264.5115,right,1.2002,,264.5116,4,2,265.5101,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.5104,266.5769,left,1.058,,266.5769,1,1,267.575,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.5754,268.3408,left,0.7504,,268.3409,0,1,269.3398,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.3401,270.1899,right,0.8341,,270.19,0,2,271.188,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.1884,272.0206,right,0.8227,,272.0207,3,2,273.0193,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0198,273.7688,right,0.734,,273.7689,3,2,274.7674,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.7678,275.2504,left,0.4669,,275.2505,0,1,276.2495,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.2499,276.9162,left,0.6581,,276.9163,1,1,277.9149,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.9158,278.6821,right,0.7586,,278.6822,3,2,279.6795,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.6799,280.3624,right,0.6658,,280.3624,7,2,281.3608,0,14,14,14,1,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.3612,282.0277,left,0.6562,,282.0278,3,1,283.0265,0,15,15,15,1,4,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0269,283.7936,right,0.7523,,283.7937,7,2,284.7915,0,16,16,16,1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f18ba940ce7b80d1875c975,65af53cbe8cf4b3e6d3334d6,2024-01-23_07h54.08.956,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.7922,285.474,right,0.6744,,285.4741,5,2,286.4726,0,17,17,17,1,8,4,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
