init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0009,0.0011,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,0.0012,5.7726,y,5.7538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,5.7727,17.1654,space,11.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,17.1691,18.1669,18.1671,18.6677,18.668,18.9196,18.9197,90,90,27.798,space,8.8527,,27.7981,36.4036,space,8.587,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,36.4095,37.404,37.4042,37.9047,37.9048,38.1569,38.1569,90,90,47.2692,space,9.0979,,47.2692,52.8025,space,5.5163,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,52.8127,53.804,53.8041,54.3048,54.3049,54.5551,54.5552,63,63,56.7252,space,2.1541,,56.7253,58.528,space,1.791,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,58.5288,59.5294,59.5294,60.0243,60.0243,60.2721,60.2722,67,67,63.5772,space,3.2898,,63.5772,64.9378,space,1.3441,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,64.9386,65.9392,65.9393,66.44,66.4401,66.6902,66.6902,1,181,69.8286,space,3.1238,,69.8286,71.0135,space,1.1701,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,71.014,72.0149,72.015,72.5157,72.5157,72.766,72.766,136,136,76.672,space,3.8951,,76.6721,78.0413,space,1.352,,0,5,5,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,78.042,79.0425,79.0426,79.5432,79.5434,79.7937,79.7937,13,13,81.5046,space,1.6989,,81.5047,82.9487,space,1.428,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,82.9492,83.9498,83.95,84.4509,84.4509,84.7011,84.7011,19,19,86.3618,space,1.646,,86.3618,87.8476,space,1.4699,,0,7,7,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,87.8483,88.8491,88.8492,89.3496,89.3497,89.6001,89.6002,145,145,91.7871,space,2.1706,,91.7871,93.6733,space,1.8703,,0,8,8,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,93.674,94.6744,94.6745,95.1752,95.1754,95.4256,95.4256,13,193,98.5471,space,3.1059,,98.5472,99.3404,space,0.7768,,0,9,9,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3414,111.2007,space,11.8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.209,117.2676,left,6.0426,,117.2677,9,1,118.2692,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.2701,120.0799,left,1.796,,120.08,10,1,121.0812,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed263aeba65480a03b6c31f,65af54b8ebaa6ae4e2c75634,2024-01-23_07h55.48.335,bars,2023.2.3,Win32,117.6470588,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0818,122.8207,left,1.7281,,122.8207,10,1,123.8189,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
