init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.001,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,0.001,12.313,y,12.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,12.313,28.462,space,16.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,28.466,29.416,29.416,29.887,29.887,30.025,30.025,6,186,37.587,space,7.406,,37.587,45.754,space,8.029,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,45.763,46.694,46.694,47.102,47.102,47.384,47.384,34,34,51.592,space,4.077,,51.592,53.998,space,2.269,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,53.998,54.933,54.933,55.347,55.347,55.485,55.485,162,-18,65.063,space,9.45,,65.063,67.048,space,1.853,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,67.049,68.045,68.045,68.454,68.454,68.732,68.732,1,1,76.611,space,7.751,,76.611,79.742,space,2.996,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,79.75,80.67,80.67,81.084,81.084,81.357,81.357,171,-9,87.531,space,6.041,0,87.531,92.484,space,4.82,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,92.493,93.419,93.419,93.835,93.835,94.106,94.106,47,47,96.057,space,1.823,,96.057,100.111,space,3.924,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611117d79c57e6744e059bc4,65af54b33f5fcc7f4ffca785,2024-01-23_07h56.30.199,bars,2023.2.3,Win32,8.474576271,657b66ea316d21385b68909f,,,,,,,,,,,100.119,101.052,101.052,101.461,101.461,101.76,101.76,169,-11,108.137,space,6.246,,108.137,109.688,space,1.42,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
