init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0015,0.0017,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,0.002,18.0431,y,17.8988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,18.0438,47.0939,space,29.0152,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,47.1172,48.1001,48.101,48.6001,48.601,48.8335,48.8345,1,361,77.4291,space,28.4661,,77.4295,94.3923,space,16.8757,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,94.4059,95.3883,95.3901,95.8887,95.8887,96.122,96.1221,69,249,115.4857,space,19.3526,,115.4858,151.0089,space,35.4737,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,151.0229,152.0077,152.0078,152.5088,152.5091,152.7426,152.7428,90,270,190.4839,space,37.7266,,190.484,196.2943,space,5.777,0.0022,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,196.3147,197.314,197.3141,197.814,197.8141,198.1851,198.1852,179,179,207.1339,space,8.9157,,207.134,213.7961,space,6.5926,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,213.8172,214.7946,214.7947,215.7959,215.7962,215.7977,215.7978,25,25,219.7598,space,3.9322,,219.7599,1039.6309,space,819.8542,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,1039.7308,1040.6368,1040.637,1041.1367,1041.1368,1041.3368,1041.3368,157,157,1048.136,space,6.7433,,1048.1361,1051.8353,space,3.6676,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6531095c8da8ca2ccf8f8a9f,65af547fac09f8926668b53a,2024-01-23_07h56.38.546,bars,2023.2.3,Win32,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,1051.8486,1052.8508,1052.8509,1053.3427,1053.3427,1053.5925,1053.5925,143,143,1061.5422,space,7.9329,,1061.5423,1075.4796,space,13.9055,,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
