init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0009,0.0014,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,0.0021,7.1823,y,7.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,7.1827,27.6198,space,20.4124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,27.6366,28.6312,28.6316,29.122,29.1226,29.3714,29.3717,90,90,38.9384,space,9.5188,,38.9393,47.3336,space,8.3514,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,47.35,48.336,48.3362,48.8361,48.8363,49.0858,49.086,0,180,53.6028,space,4.5027,,53.6029,56.7874,space,3.1518,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,56.7883,57.7868,57.7869,58.287,58.2873,58.537,58.5371,22,22,62.7865,space,4.2338,,62.7866,65.2032,space,2.3832,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,65.2163,66.2034,66.2034,66.7029,66.703,66.9534,66.9534,164,-16,70.2873,space,3.3214,,70.2875,73.7367,space,3.4164,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,73.7496,74.7521,74.7522,75.2527,75.2528,75.5026,75.5027,125,-55,79.6037,space,4.0868,,79.6038,82.4846,space,2.8498,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,82.4864,83.484,83.4841,83.9847,83.9849,84.234,84.234,156,-24,88.4341,space,4.1852,,88.4343,90.0861,space,1.6154,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655f5b9a4b521ef46a13b82a,65af538691bb652b9495ba5f,2024-01-23_07h56.42.227,bars,2023.2.3,Win32,62.11180124,657b66ea316d21385b68909f,,,,,,,,,,,90.0872,91.0848,91.0848,91.5848,91.5849,91.8346,91.8346,33,213,94.7861,space,2.9361,,94.7863,96.2015,space,1.3974,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
