init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,0.0004,30.6639,y,30.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,30.6639,61.5618,space,30.8876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,61.5688,62.5691,62.5693,63.0692,63.0695,63.3193,63.3196,92,92,74.619,space,11.2668,,74.6191,86.5356,space,11.8871,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,86.5425,87.5348,87.5349,88.0349,88.0349,88.285,88.285,96,96,94.985,space,6.6852,,94.9851,98.4349,space,3.4253,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,98.4355,99.4348,99.4349,99.9349,99.9349,100.1848,100.1848,108,108,103.9859,space,3.7777,,103.9859,106.0691,space,2.0528,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,106.0698,107.0688,107.0688,107.5688,107.5688,107.8188,107.8189,131,131,112.3026,space,4.4677,,112.3027,116.6356,space,4.2963,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,116.6562,117.6519,117.6519,118.1523,118.1524,118.4024,118.4024,152,152,122.7353,space,4.3274,,122.7354,125.5854,space,2.8281,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,125.6067,126.5856,126.5857,127.0858,127.0858,127.3355,127.3356,143,143,132.1191,space,4.7715,,132.1193,134.5191,space,2.3651,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6124ce846b7b3c7bab41bbb5,65af54bb8ebdf7e17d6d572b,2024-01-23_07h56.51.824,bars,2023.2.3,Win32,60.01680471,657b66ea316d21385b68909f,,,,,,,,,,,134.5199,135.5188,135.5188,136.0186,136.0186,136.2688,136.2689,127,127,139.6187,space,3.3416,,139.6187,142.019,space,2.376,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
