init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,0.0007,18.9322,y,18.9183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,18.9326,56.3983,space,37.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,56.4048,57.4066,57.4071,57.9069,57.9073,58.1564,58.1566,92,92,65.2817,space,7.0933,,65.282,72.2581,space,6.9276,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,72.2798,73.2737,73.2743,73.7614,73.7615,74.0112,74.0114,146,146,81.7791,space,7.751,,81.7792,87.6798,space,5.8734,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,87.709,88.6905,88.6905,89.1904,89.1905,89.4403,89.4404,64,64,91.574,space,2.1237,,91.574,95.3247,space,3.7334,,0,2,2,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,95.3582,96.3405,96.3406,96.8405,96.8407,97.0906,97.0907,38,38,100.7578,space,3.6557,,100.7578,104.2584,space,3.4624,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,104.2597,105.258,105.2581,105.7609,105.7611,106.0123,106.0124,8,8,108.3087,space,2.2737,,108.309,112.6162,space,4.2861,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,112.6483,113.624,113.624,114.1269,114.1269,114.3749,114.375,152,152,119.2427,space,4.8438,,119.2429,121.7255,space,2.4338,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,121.7263,122.7246,122.7247,123.2251,123.2252,123.4748,123.4748,23,23,127.6417,space,4.1514,,127.6418,131.2422,space,3.5755,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,131.2555,132.2583,132.2584,132.7582,132.7582,133.0087,133.0088,134,134,135.5418,space,2.5148,,135.5419,137.6255,space,2.0552,,0,7,7,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,137.6263,138.6253,138.6254,139.1253,139.1255,139.375,139.375,15,195,142.1755,space,2.7881,,142.1755,144.6253,space,2.4304,,0,8,8,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,144.6257,145.6253,145.6254,146.1253,146.1254,146.3756,146.3757,153,-27,150.0756,space,3.6826,,150.0757,153.2592,space,3.153,,0,9,9,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.289,178.444,space,25.1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.4651,183.6787,left,5.1998,,183.6791,9,1,184.6768,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.6781,188.0768,left,3.3833,,188.0769,10,1,189.0766,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1018,190.8171,right,1.7094,,190.8173,2,2,191.8146,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8155,193.1454,left,1.3082,,193.1457,7,1,194.1435,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.1449,195.3662,left,1.2015,,195.3663,5,1,196.3609,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.3623,197.283,right,0.902,,197.2832,4,2,198.2821,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.2834,199.9475,left,1.6492,,199.9477,1,1,200.944,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.971,201.9009,right,0.9251,,201.901,1,2,202.898,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.899,203.4499,right,0.5354,,203.45,0,2,204.4444,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.4464,205.2612,left,0.7845,,205.2617,2,1,206.2647,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.2657,206.8996,left,0.6175,,206.8996,0,1,207.8967,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.8975,208.7167,right,0.8013,,208.7168,3,2,209.7108,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.7121,211.5128,left,1.7737,,211.5131,1,1,212.5154,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.5159,214.0795,right,1.543,,214.0797,3,2,215.0776,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.1025,217.0782,right,1.9599,,217.0785,7,2,218.0771,0,14,14,14,1,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0785,219.2186,right,1.1188,,219.2187,9,2,220.2113,0,15,15,15,1,4,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2131,221.5954,left,1.361,,221.5955,7,1,222.5992,0,16,16,16,1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6302,223.5442,right,0.9059,,223.5442,5,2,224.5443,0,17,17,17,1,8,4,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.545,225.446,right,0.8943,,225.446,1,2,226.4443,0,18,18,18,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.4452,227.0119,left,0.551,,227.012,7,1,228.011,0,19,19,19,1,8,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0129,246.7808,space,18.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,248.3908,249.3785,,,249.8789,250.1284,,39,39,,,,,,,,,,,,,,,,bars/002.png,bars/mask008.png,,,,,,,,,,,,0,2,,,,,,,4,1,3,0,,,,,,246.8159,248.3789,space,1.5515,,249.3789,249.8789,250.1289,254.7793,space,4.6256,,254.7797,89,46,255.7789,255.7795,265.2129,space,9.4073,,0,0,0,0,1,130,85,,,,,,,,
,,615471d4201b7147e36709cf,65af551dfa16a017ecb780b6,2024-01-23_07h57.44.758,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,265.2275,266.2289,,,266.7321,266.9788,,108,108,,,,,,,,,,,,,,,,bars/034.png,bars/mask002.png,,,,,,,,,,,,2,1,,,,,,,6,0,5,0,,,,,,,,,,,266.2289,266.732,266.9789,269.5463,space,2.5506,,269.5466,17,43,270.5453,270.5454,275.1958,space,4.6183,,0,1,1,1,1,125,65,,,,,,,,
