init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.001,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,0.002,1231.835,y,1231.332,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,1231.868,1246.62,space,14.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1246.951,1247.621,1247.622,1248.124,1248.124,1248.335,1248.335,0,0,1262.91,space,14.427,,1262.911,1276.601,space,13.663,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1276.849,1277.622,1277.622,1278.102,1278.102,1278.38,1278.38,14,14,1284.35,space,5.874,,1284.35,1299.179,space,14.78,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1299.185,1300.178,1300.178,1300.527,1300.527,1300.759,1300.759,87,87,1310.133,space,9.345,,1310.133,1315.119,space,4.952,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1315.123,1316.106,1316.106,1316.599,1316.599,1316.767,1316.767,164,-16,1322.373,space,5.593,,1322.374,1329.297,space,6.908,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1329.299,1330.291,1330.291,1330.783,1330.783,1331.029,1331.03,129,129,1336.524,space,4.536,,1336.524,1341.218,space,4.663,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1341.22,1342.229,1342.229,1342.727,1342.727,1342.977,1342.977,13,193,1346.637,space,3.645,,1346.64,1350.886,space,4.162,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1350.889,1351.935,1351.935,1352.402,1352.402,1352.651,1352.651,20,20,1356.524,space,3.857,,1356.524,1363.134,space,6.599,,0,6,6,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1363.159,1364.143,1364.143,1364.655,1364.655,1364.905,1364.905,150,150,1370.665,space,5.751,,1370.665,1375.114,space,4.42,,0,7,7,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1375.114,1376.099,1376.099,1376.468,1376.468,1376.551,1376.551,40,40,1380.356,space,3.781,,1380.356,1382.631,space,2.196,,0,8,8,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,1382.632,1383.631,1383.631,1383.968,1383.969,1384.203,1384.203,126,126,1393.52,space,9.297,,1393.52,1399.087,space,4.777,,0,9,9,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.105,1413.778,space,14.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.817,1415.516,left,1.519,,1415.517,9,1,1416.519,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.521,1418.954,left,2.421,,1418.954,10,1,1419.948,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.948,1422.893,left,2.936,,1422.893,10,1,1423.885,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.885,1425.748,left,1.853,0.001,1425.748,7,1,1426.911,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e00818b935a41dcfb1cccd,65af551fbe6af047326a98a8,2024-01-23_07h57.50.407,bars,2023.2.3,Win32,29.9940012,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.99,1428.434,right,0.864,,1428.434,1,2,1429.438,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
