init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,0.0007,7.6288,y,7.6195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,7.6289,128.926,space,121.2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,128.9321,129.9285,129.9287,130.4268,130.4269,130.6601,130.6605,150,150,138.8962,space,8.1889,,138.8966,147.397,space,8.4447,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,147.4109,148.3956,148.3957,148.894,148.8941,149.1293,149.1293,56,56,151.5606,space,2.3995,,151.5607,163.9295,space,12.3324,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,163.9419,164.9293,164.9293,165.4288,165.4289,165.6605,165.6606,89,89,171.0632,space,5.3693,,171.0633,181.8262,space,10.7172,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,181.8399,182.8284,182.8285,183.3306,183.3306,183.5637,183.5638,12,12,186.1629,space,2.5677,,186.163,188.3288,space,2.1169,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,188.3296,189.3271,189.3271,189.829,189.8291,190.0626,190.0627,168,168,192.9939,space,2.9028,,192.9939,196.0627,space,3.0456,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,196.0753,197.063,197.063,197.5633,197.5635,197.7967,197.7967,4,4,199.8965,space,2.0883,,199.8966,201.2633,space,1.3365,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,201.264,202.2628,202.2628,202.7627,202.7628,202.9959,202.9959,89,89,205.5638,space,2.5557,,205.5638,208.1641,space,2.5688,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,208.1768,209.1637,209.1638,209.6597,209.6597,209.8934,209.8935,91,91,210.7285,space,0.8032,,210.7285,212.8291,space,2.0698,,0,7,7,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6164bf85b5dfa5ddff6da08d,65af55118f4b972623180b73,2024-01-23_07h58.18.694,bars,2023.2.3,MacIntel,29.94011976,657b66ea316d21385b68909f,,,,,,,,,,,212.8298,213.8307,213.8307,214.3314,214.3314,214.5632,214.5633,107,107,216.198,space,1.6169,,216.1981,220.4302,space,4.1977,,0,8,8,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
