init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,0.0007,13.986,y,13.9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,13.9866,27.3529,space,13.3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,27.3593,28.3527,28.3532,28.8523,28.8529,29.1017,29.102,1,1,43.2824,space,14.1232,,43.2826,57.0496,space,13.7376,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,57.0683,58.0525,58.0527,58.5527,58.5529,58.7975,58.7978,90,-90,68.1745,space,9.3552,,68.1746,74.0446,space,5.8372,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,74.0541,75.0454,75.0455,75.5444,75.5445,75.7943,75.7943,0,0,80.4948,space,4.6856,,80.4949,85.91,space,5.3854,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,85.9299,86.9261,86.9261,87.426,87.4261,87.6761,87.6761,91,91,91.4472,space,3.7637,,91.4472,96.6435,space,5.161,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,96.6633,97.6464,97.6464,98.1455,98.1457,98.3956,98.3956,133,-47,102.6139,space,4.2,,102.614,105.8909,space,3.2473,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,105.8924,106.8912,106.8914,107.3913,107.3913,107.6411,107.6412,128,128,110.8238,space,3.1676,,110.8239,114.3425,space,3.4939,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653a784a41876017f84c89df,65af552b0a3110be0ab78254,2024-01-23_07h58.22.681,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,114.3429,115.3401,115.3401,115.8433,115.8433,116.0891,116.0892,0,180,118.0312,space,1.9195,,118.0312,121.5732,space,3.5272,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
