init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0011,0.0014,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0017,30.3208,y,30.2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,30.3211,113.6171,space,83.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,113.6352,114.6269,114.6271,115.1176,115.1184,115.3585,115.3591,56,56,133.9755,space,18.5497,,133.9758,178.4909,space,44.4495,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,178.5084,179.4956,179.4959,179.9488,179.9489,180.1958,180.1958,140,140,183.938,space,3.7305,,183.9382,214.4653,space,30.4926,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,214.4827,215.4713,215.4716,215.9721,215.9722,216.2131,216.2133,1,1,223.2199,space,6.9884,,223.2201,236.9279,space,13.67,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,236.944,237.9337,237.9338,238.4425,238.4427,238.6839,238.684,27,207,245.1924,space,6.4964,,245.193,250.7982,space,5.5681,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,250.8141,251.7984,251.7984,252.2904,252.2905,252.5394,252.5395,178,178,255.9636,space,3.4041,,255.9637,291.5818,space,35.5868,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,291.5997,292.5897,292.5898,293.0815,293.0815,293.3317,293.3319,99,99,300.3482,space,7.0004,,300.3486,306.0918,space,5.7067,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6152c05b866a2622004014a5,65af5417928510ff1336ce20,2024-01-23_07h58.35.888,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,306.1168,307.0963,307.0963,307.5869,307.5871,307.8395,307.8396,69,69,312.9633,space,5.1143,,312.9635,322.5948,space,9.5927,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
