init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
9.99999E-05,0.0003,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,0.0003,9.164,y,9.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,9.1645,25.9999,space,16.8138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,26.0109,27.0139,27.0142,27.5139,27.5141,27.7631,27.7633,109,109,34.3486,space,6.56,,34.3489,46.1149,space,11.7221,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,46.1345,47.1302,47.1303,47.6302,47.6303,47.8805,47.8806,19,19,53.6807,space,5.7829,,53.6807,59.0144,space,5.2917,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,59.0356,60.0305,60.0305,60.5306,60.5306,60.7807,60.7808,143,143,66.6475,space,5.851,,66.6475,74.7476,space,8.0664,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,74.7666,75.7476,75.7477,76.2474,76.2474,76.497,76.497,1,1,79.481,space,2.9754,,79.4811,84.598,space,5.0853,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,84.6176,85.6144,85.6145,86.1144,86.1145,86.3641,86.3641,27,207,98.5647,space,12.1889,,98.5647,107.8484,space,9.2533,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,107.87,108.8649,108.865,109.3649,109.365,109.6145,109.6146,50,50,114.2817,space,4.6509,,114.2819,117.931,space,3.6169,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616e21f72bf3c44fb03e33cc,65af5567f6e775c50195c060,2024-01-23_07h58.47.260,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,117.9372,118.9313,118.9313,119.4318,119.432,119.6813,119.6814,179,-1,124.782,space,5.0879,,124.7821,129.332,space,4.513,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
