init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,0.0003,12.7407,y,12.7217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,12.7408,582.741,space,569.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,582.747,583.748,583.7484,584.2447,584.245,584.4942,584.4945,167,167,594.6452,space,10.0984,,594.6456,602.3285,space,7.64,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,602.3487,603.3425,603.3426,603.8428,603.8429,604.093,604.0931,168,168,610.7319,space,6.6171,,610.732,615.6593,space,4.8819,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,615.6788,616.6808,616.6809,617.1754,617.1754,617.4257,617.4257,42,42,620.8923,space,3.4502,,620.8924,637.441,space,16.5061,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,637.4657,638.457,638.457,638.9568,638.9568,639.2076,639.2077,106,106,643.1065,space,3.8812,,643.1066,646.5905,space,3.4539,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,646.6086,647.6068,647.6068,648.1068,648.1069,648.3568,648.3569,58,58,651.4564,space,3.0748,,651.4565,655.6057,space,4.127,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,655.6123,656.6058,656.6058,657.1057,657.1058,657.3558,657.3558,156,156,660.3557,space,2.9929,,660.3558,662.4387,space,2.0593,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159f4cfb6b9db3c322e8b66,65af554cb73447736efa8ab8,2024-01-23_07h59.01.722,bars,2023.2.3,Win32,61.34969325,657b66ea316d21385b68909f,,,,,,,,,,,662.4389,663.439,663.439,663.939,663.9391,664.1892,664.1893,94,94,666.3386,space,2.1395,,666.3386,669.0051,space,2.6414,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
