init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,0.0008,92.8682,y,92.5734,0.0356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,92.8687,129.9618,space,36.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,129.9731,130.967,130.9672,131.4658,131.4662,131.7203,131.7219,108,108,197.2691,space,65.5185,,197.2693,204.918,space,7.5184,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,204.9295,205.9187,205.9188,206.4181,206.4181,206.6673,206.6673,142,-38,230.9349,space,24.2559,,230.935,274.6165,space,43.6405,,0,1,1,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,274.6322,275.6167,275.6167,276.1163,276.1164,276.3668,276.3668,119,119,285.0669,space,8.6855,,285.067,290.2666,space,5.178,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,290.2781,291.268,291.2681,291.7668,291.7668,292.0162,292.0162,6,6,298.0332,space,6.0028,,298.0333,304.2868,space,6.2283,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,304.2989,305.3008,305.3008,305.7999,305.8,306.0523,306.0524,31,211,318.7515,space,12.6891,,318.7515,324.0183,space,5.2417,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,324.0324,325.0351,325.0351,325.5341,325.5342,325.7839,325.7841,177,-3,332.95,space,7.1501,,332.9501,338.0167,space,5.044,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,338.0286,339.0169,339.0169,339.5165,339.5166,339.7677,339.7678,22,22,344.5345,space,4.7526,,344.5346,347.6504,space,3.0813,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6015801ce68e22652f8b0b97,65af556e51c2a1f8263dc813,2024-01-23_07h59.30.230,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,347.6678,348.6681,348.6681,349.1667,349.1668,349.4183,349.4183,26,26,360.7517,space,11.3234,,360.7518,366.2997,space,5.5252,,0,7,7,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
