init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0007,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.001,22.3291,y,22.3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,22.3292,40.9184,space,18.5692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,40.9331,41.931,41.9314,42.4252,42.4256,42.675,42.6758,107,107,257.7664,space,215.0221,,257.7674,260.9769,space,3.1683,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,261.009,261.9799,261.9802,262.4809,262.4811,262.7224,262.7225,106,106,275.2225,space,12.4833,,275.2227,282.4098,space,7.1273,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,282.4425,283.4168,283.4169,283.909,283.9091,284.1597,284.1598,10,10,291.7426,space,7.5733,,291.7427,296.4387,space,4.6421,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,296.4678,297.4546,297.4548,297.9476,297.9478,298.1973,298.1975,109,109,308.53,space,10.3158,,308.53,312.2971,space,3.7172,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,312.2995,313.2943,313.2944,313.7945,313.7947,314.0437,314.0437,87,87,319.2439,space,5.184,,319.244,320.2612,space,0.9788,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,320.263,321.2591,321.2592,321.7492,321.7495,321.9924,321.9926,99,99,326.4923,space,4.4834,,326.4926,332.0616,space,5.5194,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,332.0838,333.0722,333.0723,333.5731,333.5732,333.8133,333.8134,52,52,338.6314,space,4.8051,,338.6316,340.1285,space,1.4468,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,340.1309,341.1283,341.1284,341.6299,341.63,341.8717,341.8718,107,107,347.0288,space,5.1351,,347.0289,347.7454,space,0.664,,0,7,7,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,347.7465,348.7446,348.7447,349.2358,349.236,349.4858,349.486,48,48,358.2704,space,8.7676,,358.2705,362.3282,space,4.0012,,0,8,8,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,362.3519,363.3393,363.3393,363.8397,363.8399,364.0896,364.0897,137,137,378.069,space,13.967,,378.0691,380.419,space,2.3246,,0,9,9,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.4204,418.3033,space,37.8671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613f59d7f0f631a278aca6e8,65af556978b86183ca316f71,2024-01-23_07h59.44.239,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.3195,422.6017,left,4.2639,,422.6021,9,1,423.5918,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
