init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.0014,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,0.0016,11.0639,y,11.0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,11.064,39.6835,space,28.5982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,39.6891,40.6835,40.6837,41.1832,41.1833,41.4327,41.4328,126,126,48.8698,space,7.4007,,48.8699,64.0103,space,15.0967,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,64.0221,65.0113,65.0114,65.5109,65.5109,65.7614,65.7614,166,166,69.0592,space,3.2812,,69.0593,80.6025,space,11.5048,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,80.6029,81.6024,81.6024,82.1025,82.1026,82.3519,82.3519,173,173,97.6271,space,15.2583,,97.6271,106.2814,space,8.633,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,106.2928,107.281,107.281,107.7813,107.7814,108.0306,108.0307,46,46,118.3528,space,10.3009,,118.3528,120.6529,space,2.2736,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,120.6532,121.6538,121.6539,122.1547,122.1547,122.4042,122.4042,44,44,129.1598,space,6.7385,,129.1598,133.0772,space,3.8918,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,133.0779,134.0779,134.0779,134.5775,134.5775,134.8267,134.8268,177,-3,142.8485,space,8.0051,,142.8487,145.6655,space,2.7916,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,145.6658,146.6656,146.6657,147.1665,147.1665,147.4167,147.4167,30,30,151.1037,space,3.6689,,151.1038,152.9699,space,1.8389,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,152.9705,153.9707,153.9708,154.4701,154.4701,154.7194,154.7194,143,143,159.5719,space,4.8312,,159.5719,161.4898,space,1.8911,,0,7,7,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,616a08ba588c5e11354585ce,65af557e2cf40634cd5d70a3,2024-01-23_07h59.47.803,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,161.4901,162.4893,162.4893,162.9905,162.9906,163.2417,163.2417,151,151,171.7117,space,8.4549,,171.7117,173.0624,space,1.33,,0,8,8,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
