init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0006,11.0725,y,11.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,11.0727,13.8271,space,2.7356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,13.8294,14.8284,14.8285,15.328,15.3281,15.5784,15.5786,0,0,39.5858,space,23.9825,,39.5859,54.9015,space,15.2986,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,54.9064,55.9015,55.9016,56.4029,56.4029,56.6533,56.6534,0,180,83.1965,space,26.5269,,83.1965,94.8581,space,11.6461,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,94.8632,95.8586,95.8587,96.3594,96.3595,96.6098,96.61,47,47,109.5562,space,12.9305,,109.5562,112.3258,space,2.754,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,112.3259,113.3261,113.3261,113.8274,113.8274,114.0773,114.0773,35,35,121.5675,space,7.4737,,121.5675,125.8379,space,4.2545,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,125.8425,126.8391,126.8392,127.3396,127.3397,127.5897,127.5898,141,141,131.3933,space,3.7861,,131.3933,133.9136,space,2.5035,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,133.9184,134.9144,134.9144,135.4152,135.4152,135.6643,135.6643,141,141,140.8872,space,5.2054,,140.8872,144.6237,space,3.7205,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60871d7dcbf3bd9bf2c40be8,65af559cac09f8926668b570,2024-01-23_07h59.48.104,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,144.6284,145.6249,145.6249,146.1257,146.1257,146.3749,146.3749,25,25,151.5639,space,5.1716,,151.5639,152.4322,space,0.8516,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
