init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0007,0.0008,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,0.0011,10.298,y,10.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,10.2981,53.905,space,43.5895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,53.9078,54.8979,54.8979,55.3986,55.3988,55.6485,55.6487,90,90,62.3122,space,6.6373,,62.3123,74.4577,space,12.1203,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,74.4644,75.4609,75.4612,75.9598,75.9599,76.2114,76.2114,90,90,81.0445,space,4.8165,,81.0445,85.0977,space,4.0321,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,85.1042,86.0978,86.098,86.5979,86.598,86.8483,86.8483,90,90,89.8318,space,2.9657,,89.8318,93.7483,space,3.8997,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,93.7549,94.7485,94.7486,95.2486,95.2488,95.4988,95.4989,90,90,100.5816,space,5.0682,,100.5818,102.7145,space,2.1106,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,102.7153,103.7146,103.7146,104.2143,104.2144,104.465,104.4651,90,90,110.0481,space,5.5634,,110.0482,114.5817,space,4.5164,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,114.589,115.5809,115.5809,116.0809,116.0809,116.3314,116.3314,90,90,119.1339,space,2.7842,,119.1341,121.2651,space,2.1086,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,121.2658,122.2647,122.2647,122.765,122.7652,123.0151,123.0153,90,90,127.598,space,4.5693,,127.5981,130.298,space,2.679,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,130.2988,131.2983,131.2984,131.798,131.7982,132.0481,132.0481,90,90,135.4486,space,3.3849,,135.4487,140.1478,space,4.68,,0,7,7,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,140.1551,141.1494,141.1495,141.6485,141.6486,141.8975,141.8975,90,90,144.6482,space,2.7303,,144.6483,147.798,space,3.1365,,0,8,8,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,147.8054,148.7973,148.7974,149.2976,149.2977,149.5474,149.5474,90,90,154.3496,space,4.7885,,154.3496,155.4483,space,1.0787,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4496,169.1983,space,13.7307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2077,174.2314,left,5.0044,,174.2315,9,1,175.2311,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.2321,180.1977,left,4.9531,,180.1978,10,1,181.1974,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.2066,183.1471,left,1.9294,,183.1472,10,1,184.1477,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.1542,185.4647,left,1.2979,,185.4648,7,1,186.4642,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.4645,188.1978,right,1.7137,,188.1979,1,2,189.1978,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1982,190.4645,left,1.2506,,190.4647,4,1,191.4648,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6132965ccc912bb9b4a5c3e5,65af55cd97d7ed799e101c6b,2024-01-23_08h00.29.891,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4728,192.0811,left,0.5932,,192.0812,1,1,193.0803,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
