init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0004,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,0.0005,44.6679,y,44.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,44.6679,78.6262,space,33.9284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,78.6303,79.6274,79.6281,80.1276,80.128,80.3777,80.3782,147,147,90.7531,space,10.324,,90.7534,96.3548,space,5.5661,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,96.3629,97.356,97.3562,97.856,97.856,98.1063,98.1064,31,31,104.7313,space,6.6038,,104.7313,108.5627,space,3.7961,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,108.5694,109.5641,109.5642,110.0647,110.0648,110.3145,110.3146,19,19,114.1902,space,3.8548,,114.1903,117.9818,space,3.7587,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,117.9993,119.0012,119.0013,119.502,119.5021,119.7522,119.7522,45,45,123.9402,space,4.1681,,123.9403,127.9604,space,3.9828,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,127.9805,128.9807,128.9808,129.4813,129.4814,129.7105,129.7106,142,142,135.9598,space,6.2413,,135.9601,139.4191,space,3.4247,,0,4,4,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,139.4391,140.4396,140.4397,140.9395,140.9396,141.1898,141.1899,142,142,146.9402,space,5.7293,,146.9403,150.1888,space,3.2215,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3af1046218720332ff9cea,65af5423cf3d8856f5c0ca23,2024-01-23_08h00.31.966,bars,2023.2.3,Win32,49.01960784,657b66ea316d21385b68909f,,,,,,,,,,,150.1892,151.1892,151.1893,151.6899,151.69,151.9386,151.9386,45,45,154.5231,space,2.5731,,154.5232,156.6899,space,2.145,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
