init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0006,0.0009,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0012,24.7823,y,24.4547,0.1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,24.7826,103.9193,space,79.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,103.9301,104.9211,104.9214,105.4282,105.4286,105.6858,105.686,2,2,141.9045,space,36.1676,,141.9048,176.449,space,34.4935,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,176.4677,177.4634,177.4635,177.9497,177.9498,178.1974,178.1976,36,36,185.1417,space,6.9229,,185.1418,192.2214,space,7.0408,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,192.2391,193.2193,193.2193,193.7185,193.7185,193.969,193.9691,175,175,199.8697,space,5.8787,,199.8698,207.4388,space,7.5305,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,207.4578,208.4558,208.4558,208.9497,208.9498,209.1765,209.1765,34,34,216.1721,space,6.9738,,216.1722,229.0775,space,12.8672,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,229.096,230.0905,230.0905,230.5888,230.5889,230.8145,230.8146,146,146,238.4367,space,7.6013,,238.4368,250.3905,space,11.9133,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,250.409,251.3998,251.3999,251.8848,251.8849,252.133,252.1331,25,25,259.4469,space,7.2919,,259.447,270.6581,space,11.1711,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615dd7a74b5d8dd6dc602ca3,65af551ffa16a017ecb780b7,2024-01-23_08h00.34.592,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,270.6759,271.6583,271.6584,272.1359,272.1362,272.3789,272.379,175,175,280.2526,space,7.8508,,280.2527,286.4457,space,6.1549,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
