init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0008,0.0009,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,0.0011,17.2463,y,17.2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,17.2465,27.1164,space,9.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,27.1291,28.1188,28.119,28.6169,28.6171,28.8666,28.8667,61,61,32.3559,space,3.4664,,32.356,39.561,space,7.1734,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,39.5693,40.5615,40.5615,41.0619,41.062,41.3122,41.3122,84,84,45.0995,space,3.772,,45.0995,48.7171,space,3.5987,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,48.7276,49.7206,49.7206,50.2211,50.2211,50.4714,50.4714,20,200,53.4745,space,2.9889,,53.4746,54.5755,space,1.0798,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,54.5758,55.5766,55.5767,56.077,56.077,56.3273,56.3273,1,181,58.4795,space,2.1363,,58.4795,62.472,space,3.9793,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,62.4865,63.4846,63.4847,63.9859,63.9859,64.2401,64.2401,95,95,68.3703,space,4.1132,,68.3703,71.7759,space,3.3828,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,71.784,72.7767,72.7767,73.2772,73.2772,73.5275,73.5275,14,14,75.6777,space,2.1364,,75.6778,79.1408,space,3.447,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1550c32b16ba0001c95536,65af55854aa07d90bbee3cc8,2024-01-23_08h00.37.252,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,79.1412,80.1344,80.1344,80.6348,80.6349,80.8851,80.8851,140,140,82.9209,space,2.0208,,82.921,84.8224,space,1.8857,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
