init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0005,0.0006,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0007,140.6427,y,140.6329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,140.6429,144.4748,space,3.8157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,144.4779,145.4753,145.4755,145.9753,145.9756,146.2246,146.2247,159,159,150.4259,space,4.1833,,150.4262,154.3914,space,3.9212,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,154.3967,155.3914,155.3915,155.8913,155.8913,156.1411,156.1412,91,91,160.4418,space,4.2905,,160.4419,162.4411,space,1.9649,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,162.4413,163.4414,163.4414,163.9415,163.9416,164.1916,164.1916,176,176,166.5251,space,2.327,,166.5251,172.9246,space,6.3876,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,172.9393,173.9411,173.9411,174.4248,174.4249,174.6744,174.6744,175,175,179.9248,space,5.2457,,179.9249,183.7244,space,3.7723,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,183.733,184.7243,184.7244,185.2244,185.2244,185.4744,185.4744,36,36,188.0577,space,2.5802,,188.0577,189.4416,space,1.3661,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,189.4423,190.4412,190.4412,190.9414,190.9414,191.1911,191.1912,23,203,197.6577,space,6.4511,,197.6577,201.3909,space,3.7116,,0,5,5,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,201.3971,202.391,202.391,202.8913,202.8913,203.1409,203.1409,158,158,204.9246,space,1.7774,,204.9246,206.341,space,1.3994,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,206.3411,207.3414,207.3415,207.8408,207.8408,208.0909,208.0909,85,265,212.6243,space,4.5246,,212.6243,215.6577,space,3.024,,0,7,7,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5deef5412dc5c65901b17bef,65af5605fa16a017ecb780d2,2024-01-23_08h01.03.511,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,215.6666,216.6583,216.6583,217.1575,217.1575,217.408,217.4081,9,9,221.1744,space,3.7572,,221.1744,223.9076,space,2.7016,,0,8,8,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
