init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,0.0003,18.443,y,18.4328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,18.4431,56.8342,space,38.3816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,56.8395,57.844,57.8442,58.3452,58.3454,58.5948,58.595,0,180,77.5626,space,18.94,,77.5628,103.8107,space,26.2179,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,103.8244,104.8116,104.8117,105.3097,105.3097,105.5634,105.5634,173,173,119.128,space,13.5509,,119.1281,129.6442,space,10.4768,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,129.6579,130.6451,130.6452,131.144,131.1442,131.3973,131.3973,157,157,141.031,space,9.6234,,141.0311,151.1976,space,10.1369,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,151.2101,152.2147,152.2148,152.7124,152.7125,152.9627,152.9627,147,147,161.2128,space,8.2365,,161.213,168.4325,space,7.1996,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,168.4446,169.4454,169.4455,169.9467,169.9468,170.1968,170.1968,100,-80,187.0991,space,16.8855,,187.0991,193.9298,space,6.804,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,193.9412,194.9324,194.9326,195.4307,195.4307,195.6796,195.6796,26,26,210.315,space,14.6204,,210.3152,216.0999,space,5.762,,0,5,5,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f2c5a1a74838f505499dec,65af55ec91bb652b9495baa9,2024-01-23_08h01.08.883,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,216.1115,217.1166,217.1167,217.615,217.6151,217.8651,217.8652,161,161,227.4667,space,9.5842,,227.4668,236.3175,space,8.831,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
