init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0007,54.1794,y,54.1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,54.1799,109.5032,space,55.2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,109.5634,110.5166,110.5174,111.0167,111.0175,111.2672,111.2679,91,91,154.9194,space,43.568,,154.9204,342.5539,space,187.5281,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,342.6016,343.5666,343.5671,344.0669,344.067,344.3177,344.3179,46,46,386.9086,space,42.5691,,386.9089,390.6335,space,3.6534,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,390.6356,391.6333,391.6334,392.1333,392.1334,392.3717,392.3719,170,170,401.2918,space,8.9022,,401.2919,405.6684,space,4.3117,,0,2,2,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,405.7138,406.6836,406.684,407.1835,407.1838,407.434,407.4342,106,106,417.0583,space,9.602,,417.0584,423.6679,space,6.5404,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,423.7126,424.6835,424.6836,425.1724,425.1725,425.4175,425.4179,6,6,432.2901,space,6.8504,,432.2901,440.8523,space,8.5006,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,440.8956,441.8669,441.8672,442.3555,442.3557,442.6006,442.6007,60,60,449.051,space,6.435,,449.0515,452.2421,space,3.127,,0,5,5,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6172db15b7d756655cd0bb38,65af55e1be6af047326a98c2,2024-01-23_08h01.23.969,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,452.2432,453.2337,453.234,453.7342,453.7345,453.9895,453.9897,50,50,460.5532,space,6.5406,,460.5533,464.3033,space,3.6871,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
