init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,0.0007,36.8864,y,36.8738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,36.8865,59.1042,space,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,59.1098,60.099,60.0993,60.5874,60.5878,60.8371,60.8373,0,180,76.2645,space,15.3904,,76.2648,95.3647,space,19.0671,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,95.3807,96.3795,96.3799,96.8673,96.8674,97.1129,97.113,139,-41,104.5633,space,7.4262,,104.5634,112.6964,space,8.1058,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,112.7093,113.7128,113.7129,114.212,114.2121,114.4664,114.4664,39,39,122.6835,space,8.2004,,122.6836,129.9158,space,7.2117,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,129.9291,130.9278,130.928,131.4278,131.4278,131.6774,131.6776,149,-31,139.9265,space,8.2212,,139.9266,158.0143,space,18.0661,,0,3,3,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,158.029,159.0263,159.0264,159.5263,159.5264,159.7761,159.7761,175,-5,167.6655,space,7.8683,,167.6655,169.9098,space,2.218,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,169.9106,170.9132,170.9133,171.4088,171.4089,171.6613,171.6613,100,100,178.9809,space,7.314,,178.9811,192.6084,space,13.5963,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60e5c4869429cc6413394d94,65af548eb1b2d753c01809fa,2024-01-23_08h01.36.655,bars,2023.2.3,Win32,59.17159763,657b66ea316d21385b68909f,,,,,,,,,,,192.6274,193.6248,193.6249,194.1241,194.1243,194.3741,194.3742,0,0,203.1246,space,8.7219,,203.1247,205.8413,space,2.6948,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
