init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0012,0.0017,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.002,13.6593,y,13.6383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,13.6594,46.6009,space,32.9288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,46.6091,47.6064,47.607,48.1064,48.1066,48.3546,48.3548,27,27,69.2208,space,20.8363,,69.2211,76.1823,space,6.9268,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,76.1923,77.1979,77.1981,77.6961,77.6961,77.9455,77.9457,90,90,86.5559,space,8.5916,,86.556,94.799,space,8.22,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,94.8101,95.8132,95.8133,96.3129,96.3132,96.5627,96.5628,168,168,102.8913,space,6.3168,,102.8913,106.6221,space,3.7063,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,106.6319,107.6358,107.6359,108.1354,108.1356,108.3854,108.3854,19,19,115.613,space,7.2122,,115.613,118.5769,space,2.9414,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,118.5777,119.5756,119.5756,120.077,120.077,120.3264,120.3265,143,143,125.9587,space,5.6175,,125.9589,129.1177,space,3.133,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,129.1185,130.1182,130.1182,130.6161,130.6162,130.8658,130.8658,21,21,136.3944,space,5.5129,,136.3947,138.877,space,2.4608,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60c1dad7d8e907eb7ec06216,65af56691410b53e6cb3742e,2024-01-23_08h03.06.213,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,138.8781,139.8761,139.8766,140.3747,140.3748,140.6239,140.624,17,17,141.376,space,0.7341,,141.3762,142.6897,space,1.2939,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
